COURSE,NAME,DANISH_NAME,LANGUAGE,ECTS_POINTS,COURSE_TYPE,EXAM_TYPE,TIME_OF_WEEK,COURSE_DURATION,EXAM_AID,EXAMINER,ASSIGNMENTS,GRADE_TYPE,CAMPUS,SEMESTER_PERIOD,MAIN_RESPONSIBLE_NAME,CO_RESPONSIBLE_1_NAME,CO_RESPONSIBLE_2_NAME,CO_RESPONSIBLE_3_NAME,CO_RESPONSIBLE_4_NAME,STUDY_LINES,AVERAGE_GRADE,PERCENT_PASSED,TOTAL_STUDENTS,WORKLOAD_AVERAGE_SCORE,LEARNING_AVERAGE_SCORE,MOTIVATION_AVERAGE_SCORE,FEEDBACK_AVERAGE_SCORE
10316,Materials design with machine learning and artificial intelligence,Materialedesign med maskinlæring og kunstig intelligens,English,5.0,MSc,Oral exam,['3-week January'],DURATION_3_WEEKS,Unknown data value,EXAMINER_INTERNAL,Mandatory reports,PASS_OR_FAIL,CAMPUS_LYNGBY,January,Karsten Wedel Jacobsen,Kristian Sommer Thygesen,Jakob Schiøtz,Thomas Bligaard,NO_DATA,"['MSc, Engineering Physics']",Pass/Fail,97.9,233,3.4,4.37,4.06,3.67
10317,Condensed Matter Physics,Faststoffysik,English,5.0,BSc,Oral exam,"['F4A (Spring, Tues 13-17)', 'E4A (Autumn, Tues 13-17)']",DURATION_13_WEEKS,Unknown data value,EXAMINER_INTERNAL,No mandatory assignments,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Spring + Autumn,Niels Bech Christensen,Peter Christian Kjærgaard Vesborg,Søren Raza,Stig Helveg,NO_DATA,"['BSc, Engineering Physics']",9.17,91.1,45,3.07,4.33,3.79,3.48
10319,Advanced solid state physics,Videregående faststoffysik,English,5.0,MSc,Oral exam,"['E5B (Autumn, Wed 13-17)']",DURATION_13_WEEKS,No computers,EXAMINER_INTERNAL,No mandatory assignments,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,Kristian Sommer Thygesen,Thomas Olsen,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Light', 'MSc, Engineering Physics']",9.6,100.0,5,4.2,4.4,4.4,3.0
10321,Nanosystems engineering,Nanosystemteknologi,English,10.0,MSc,Oral exam,"['E2A (Autumn, Mon 13-17)', 'E2B (Autumn, Thurs 8-12)']",DURATION_13_WEEKS,No aid,EXAMINER_EXTERNAL,Mandatory exercises,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,Peter Bøggild,NO_DATA,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics']",9.21,89.2,74,3.84,4.48,3.79,4.37
10325,Quantum mechanical modelling of nanoelectronics,Kvantemekanisk modellering af nanoelektronik,English,5.0,MSc,Report hand-in,['3-week January'],DURATION_3_WEEKS,Unknown data value,EXAMINER_INTERNAL,Mandatory reports,PASS_OR_FAIL,CAMPUS_LYNGBY,January,Mads Brandbyge,NO_DATA,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics']",Pass/Fail,92.5,67,3.24,4.48,4.17,4.14
10326,Electronic characterisation of nanomaterials: principles and practice,Elektronisk karakterisering af nanomaterialer: principper og praksis,English,5.0,MSc,Report hand-in,['3-week June'],DURATION_3_WEEKS,All aid,EXAMINER_INTERNAL,Mandatory experiments,PASS_OR_FAIL,CAMPUS_LYNGBY,June,Timothy John Booth,NO_DATA,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics']",No data,No data,0,2.55,4.73,4.8,4.18
10331,Experimental introduction to physics of sustainable energy,Eksperimentel introduktion til fysikken bag bæredygtig energi,Danish,5.0,BSc,Oral exam,"['E2A (Autumn, Mon 13-17)']",DURATION_13_WEEKS,Unknown data value,EXAMINER_INTERNAL,No mandatory assignments,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,Jakob Doganli-Kibsgaard,Christian Danvad Damsgaard,Ole Lynnerup Trinhammer,NO_DATA,NO_DATA,['Not linked to any study lines'],8.51,98.8,86,2.88,4.53,4.66,4.59
10333,Physics of Sustainable Energy,Fysikken i vedvarende energi,English,5.0,MSc,Written exam,"['E5B (Autumn, Wed 13-17)']",DURATION_13_WEEKS,No aid,EXAMINER_INTERNAL,Mandatory exercises,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,Brian Joseph Seger,NO_DATA,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics', 'MSc, Sustainable Energy', 'MSc, Sustainable Energy Technologies']",6.36,77.8,230,3.01,4.0,3.59,3.19
10337,Theoretical microfluidics,Teoretisk mikrofluidik,English,5.0,MSc,Oral exam,"['E4A (Autumn, Tues 13-17)']",DURATION_13_WEEKS,No aid,EXAMINER_EXTERNAL,Mandatory reports,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,Kaare Hartvig Jensen,NO_DATA,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics']",9.91,93.3,60,3.31,4.64,4.5,4.85
10339,Concepts in heterogeneous catalysis and applications to energy conversion,Begreber i heterogen katalyse og anvendelser indenfor energikonvertering,English,5.0,MSc,Report hand-in,"['E3B (Autumn, Fri 13-17)']",DURATION_13_WEEKS,All aid,EXAMINER_INTERNAL,Mandatory reports,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Autumn,Thomas Bligaard,Jens Kehlet Nørskov,Georg Kastlunger,Alexander Tholstrup Bagger,NO_DATA,"['MSc, Engineering Physics', 'MSc, Sustainable Energy', 'MSc, Sustainable Energy Technologies']",9.55,95.6,114,3.25,4.23,3.65,3.42
10346,Advanced Continuum Physics,Videregående Kontinuumsfysik,English,5.0,MSc,Oral exam,"['F2A (Spring, Mon 13-17)']",DURATION_13_WEEKS,No aid,EXAMINER_INTERNAL,Mandatory exercises,SEVEN_STEP_SCALE,CAMPUS_LYNGBY,Spring,Henrik Bruus,NO_DATA,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics', 'MSc, Petroleum Engineering']",9.05,90.5,21,3.9,4.48,3.98,4.24
10350,Numerical studies in physics,Numeriske studier i fysik,English,5.0,MSc,Report hand-in,['3-week August'],DURATION_3_WEEKS,Unknown data value,EXAMINER_INTERNAL,Mandatory reports,PASS_OR_FAIL,CAMPUS_LYNGBY,August,Henrik Bruus,NO_DATA,NO_DATA,NO_DATA,NO_DATA,"['MSc, Engineering Physics']",Pass/Fail,97.8,139,3.01,4.72,4.48,4.4
