COURSE,E23_GRADE_12,E23_GRADE_10,E23_GRADE_7,E23_GRADE_4,E23_GRADE_02,E23_GRADE_00,E23_GRADE_MINUS_3,E23_PASSED,E23_FAILED,E23_ABSENT
01001,162.0,231.0,308.0,125.0,27.0,0.0,0.0,0.0,124.0,91.0
01002,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01003,50,41,53,19,5,0,0,0,19,11
01004,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01005,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01006,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01015,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01017,14,26,53,42,22,46,9,No data,No data,1
01018,21,9,12,7,1,0,1,No data,No data,2
01019,4,9,18,11,7,9,2,No data,No data,No data
01020,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01025,12,13,16,4,3,8,1,No data,No data,1
01034,15,47,40,18,15,24,3,No data,No data,7
01035,38,62,62,22,20,30,5,No data,No data,12
01037,0,2,4,6,1,3,1,No data,No data,2
01125,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01227,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01237,23,47,26,3,2,3,4,No data,No data,1
01238,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01257,1,12,5,0,0,0,0,No data,No data,No data
01325,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01405,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01410,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01415,6,7,2,4,1,0,0,No data,No data,4
01418,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01426,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01527,No data,No data,No data,No data,No data,No data,No data,8,0,2
01617,15,38,46,37,10,3,2,No data,No data,3
01621,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01622,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01666,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01715,2,9,7,2,2,1,0,No data,No data,2
01716,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01901,55,88,115,91,68,126,103,No data,No data,111
01904,5,17,24,33,18,15,15,No data,No data,17
01910,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01915,0,1,2,0,2,1,1,No data,No data,2
01920,9,25,36,51,35,90,40,No data,No data,64
02002,272,106,95,115,164,210,36,No data,No data,85
02003,80,29,34,37,38,37,7,No data,No data,20
02100,38,16,10,11,2,9,12,No data,No data,12
02104,27,20,22,12,1,0,0,No data,No data,1
02105,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02110,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02112,22,8,0,0,0,0,0,No data,No data,5
02113,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02114,6,2,0,0,0,0,0,No data,No data,No data
02116,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02118,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02122,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02123,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02128,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02132,16,33,19,4,0,9,0,No data,No data,1
02135,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02138,14,13,16,10,3,20,5,No data,No data,21
02139,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02141,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02143,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02148,32,14,34,5,0,0,0,No data,No data,1
02155,9,21,16,16,4,4,3,No data,No data,7
02156,21,19,19,6,1,2,0,No data,No data,2
02157,17,31,23,17,25,43,24,No data,No data,25
02158,8,9,13,18,20,13,1,No data,No data,4
02159,31,24,11,8,4,2,3,No data,No data,5
02160,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02161,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02162,5,18,12,0,0,0,0,No data,No data,No data
02170,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02180,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02182,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02191,7,11,13,4,0,0,0,No data,No data,3
02192,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02193,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02195,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02196,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02201,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02203,8,17,9,6,1,7,1,No data,No data,No data
02204,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02205,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02209,2,1,0,0,2,2,0,No data,No data,1
02211,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02214,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02223,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02224,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02226,32,26,14,6,6,0,0,No data,No data,3
02232,18,26,23,10,0,2,0,No data,No data,2
02233,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02234,35,39,35,10,3,3,0,No data,No data,No data
02238,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02239,30,119,78,20,4,13,0,No data,No data,12
02242,34,20,8,7,9,1,0,No data,No data,4
02244,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02245,7,3,7,6,1,1,0,No data,No data,6
02246,12,8,16,9,3,2,0,No data,No data,4
02247,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02249,4,24,18,9,12,19,1,No data,No data,7
02255,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02256,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02257,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02258,0,4,17,11,9,4,0,No data,No data,5
02263,32,23,11,21,0,0,0,No data,No data,No data
02266,131,61,24,11,0,0,0,No data,No data,1
02267,35,22,25,2,11,0,0,No data,No data,No data
02268,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02269,20,53,28,3,0,1,0,No data,No data,3
02282,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02285,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02287,14,13,27,20,2,1,0,No data,No data,4
02289,10,7,8,7,1,7,0,No data,No data,5
02291,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02314,77,14,10,3,9,7,26,No data,No data,No data
02316,6,19,27,10,8,1,1,No data,No data,2
02317,7,8,9,1,0,0,0,No data,No data,1
02318,8,13,6,4,5,8,0,No data,No data,5
02320,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02321,2,8,4,5,1,2,0,No data,No data,2
02322,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02323,5,29,51,59,18,36,9,No data,No data,28
02324,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02326,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02327,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02332,26,20,27,19,5,12,0,No data,No data,15
02335,4,12,28,26,20,13,8,No data,No data,5
02346,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02362,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02363,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02369,23,18,25,21,11,11,0,0,10,No data
02393,No data,No data,No data,No data,No data,No data,No data,259,30,21
02402,46,80,144,94,37,51,9,No data,No data,44
02403,0,1,6,5,5,7,0,No data,No data,1
02405,5,12,20,10,18,18,7,No data,No data,15
02407,12,7,11,8,4,1,0,No data,No data,6
02409,17,31,31,25,12,12,0,No data,No data,9
02411,13,20,34,12,17,12,4,No data,No data,5
02413,7,12,4,5,2,0,0,No data,No data,No data
02417,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02418,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02421,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02424,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02425,8,3,2,2,0,0,0,No data,No data,2
02427,11,14,3,4,1,0,0,No data,No data,2
02429,8,7,1,0,0,0,0,No data,No data,1
02431,7,12,14,7,0,1,0,No data,No data,No data
02435,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02441,4,10,8,3,5,0,0,No data,No data,2
02443,No data,No data,No data,No data,No data,No data,No data,4,0,No data
02445,9,21,18,13,3,0,0,No data,No data,4
02450,41,100,148,106,48,110,21,No data,No data,62
02455,13,19,11,2,0,0,0,No data,No data,1
02456,167,169,53,0,0,0,0,12,0,11
02458,4,6,3,3,4,5,7,No data,No data,8
02460,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02461,3,37,27,9,0,2,0,No data,No data,11
02462,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02463,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02464,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02465,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02466,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02467,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02471,16,19,18,16,19,6,4,1,0,5
02476,0,4,0,0,0,0,0,258,0,15
02477,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02492,No data,No data,No data,No data,No data,No data,No data,48,9,5
02501,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02502,34,85,144,22,20,9,3,No data,No data,29
02504,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
