COURSE,E21_LEARNING,E21_MOTIVATION,E21_FEEDBACK,E21_WORKLOAD
01002,,,,
01003,,,,
01004,,,,
01005,"[8, 16, 37, 199, 443]","[25, 52, 138, 295, 183]","[15, 69, 114, 257, 237]","[4, 43, 184, 263, 194]"
01006,"[3, 7, 10, 35, 33]","[4, 14, 26, 31, 10]","[1, 4, 18, 34, 29]","[2, 6, 25, 30, 22]"
01015,"[0, 0, 4, 20, 25]","[1, 6, 10, 24, 8]","[2, 9, 5, 22, 11]","[2, 3, 12, 19, 13]"
01016,,,,
01017,"[2, 5, 24, 96, 77]","[5, 24, 41, 90, 38]","[1, 7, 31, 97, 62]","[5, 37, 96, 50, 9]"
01018,"[0, 1, 4, 9, 18]","[1, 2, 2, 9, 18]","[0, 0, 1, 10, 21]","[1, 8, 15, 6, 2]"
01019,"[0, 0, 3, 10, 13]","[0, 2, 3, 9, 12]","[0, 0, 3, 9, 14]","[1, 5, 12, 6, 2]"
01020,,,,
01025,"[0, 1, 0, 7, 24]","[0, 0, 0, 13, 18]","[0, 0, 1, 3, 27]","[0, 0, 16, 14, 1]"
01034,"[0, 0, 5, 24, 28]","[3, 3, 5, 25, 21]","[0, 1, 3, 19, 34]","[0, 3, 19, 27, 8]"
01035,"[0, 5, 13, 60, 64]","[3, 17, 33, 56, 32]","[1, 0, 12, 51, 76]","[1, 16, 73, 41, 10]"
01037,,,,
01125,"[0, 0, 0, 5, 13]","[0, 0, 4, 4, 10]","[0, 0, 3, 3, 11]","[0, 2, 8, 6, 1]"
01227,,,,
01237,"[0, 1, 6, 21, 19]","[0, 5, 5, 18, 19]","[0, 1, 2, 10, 34]","[1, 9, 23, 8, 4]"
01238,,,,
01257,"[0, 0, 1, 2, 4]","[0, 1, 1, 0, 5]","[0, 0, 1, 1, 5]","[0, 0, 4, 3, 0]"
01325,,,,
01405,,,,
01410,,,,
01415,"[1, 0, 0, 3, 4]","[0, 0, 0, 3, 4]","[0, 0, 1, 2, 4]","[0, 1, 6, 0, 0]"
01418,"[0, 0, 5, 19, 38]","[0, 4, 13, 30, 15]","[0, 3, 9, 18, 32]","[1, 3, 26, 21, 11]"
01426,"[0, 2, 1, 4, 4]","[1, 1, 3, 4, 2]","[2, 6, 1, 1, 1]","[1, 3, 4, 3, 0]"
01527,"[0, 0, 0, 0, 2]","[0, 0, 0, 1, 1]","[0, 0, 0, 0, 2]","[0, 0, 1, 1, 0]"
01604,"[0, 0, 5, 8, 6]","[0, 4, 3, 10, 2]","[1, 1, 5, 10, 2]","[0, 3, 11, 3, 2]"
01606,,,,
01617,"[0, 2, 9, 16, 20]","[2, 8, 12, 10, 14]","[0, 5, 10, 21, 10]","[0, 8, 26, 11, 1]"
01621,,,,
01622,,,,
01666,,,,
01715,"[0, 0, 0, 1, 8]","[0, 0, 0, 0, 9]","[0, 0, 0, 0, 9]","[1, 2, 6, 0, 0]"
01716,,,,
01901,"[7, 27, 68, 148, 151]","[22, 54, 123, 120, 72]","[12, 39, 99, 133, 108]","[9, 61, 138, 124, 56]"
01904,"[9, 18, 21, 27, 12]","[16, 25, 21, 15, 7]","[3, 12, 32, 27, 10]","[4, 11, 36, 21, 12]"
01920,"[0, 3, 16, 42, 45]","[1, 11, 35, 38, 21]","[1, 14, 17, 37, 37]","[1, 10, 47, 32, 16]"
02101,"[15, 26, 32, 44, 20]","[24, 29, 27, 40, 14]","[9, 22, 36, 49, 16]","[12, 26, 53, 31, 11]"
02102,,,,
02105,,,,
02110,"[0, 0, 7, 18, 42]","[2, 6, 8, 23, 26]","[0, 4, 10, 27, 24]","[2, 5, 23, 22, 13]"
02121,"[1, 3, 8, 4, 3]","[1, 5, 6, 5, 1]","[4, 4, 7, 3, 1]","[4, 7, 7, 1, 0]"
02122,,,,
02128,,,,
02132,"[0, 0, 2, 9, 36]","[1, 0, 2, 9, 35]","[1, 4, 1, 14, 27]","[0, 13, 26, 4, 4]"
02135,"[0, 0, 0, 12, 16]","[0, 0, 3, 11, 14]","[0, 0, 0, 10, 18]","[1, 4, 17, 4, 2]"
02138,"[2, 1, 13, 17, 15]","[5, 7, 11, 18, 7]","[1, 3, 9, 20, 15]","[0, 6, 19, 15, 7]"
02139,,,,
02141,,,,
02148,"[0, 3, 1, 5, 2]","[0, 1, 3, 2, 4]","[2, 2, 1, 4, 1]","[1, 4, 4, 1, 0]"
02155,"[1, 2, 9, 20, 7]","[6, 4, 15, 9, 5]","[1, 7, 4, 22, 4]","[2, 4, 23, 8, 1]"
02156,"[0, 3, 4, 12, 7]","[1, 6, 3, 8, 8]","[0, 1, 0, 5, 20]","[1, 8, 13, 4, 0]"
02157,"[11, 9, 21, 30, 19]","[25, 15, 18, 21, 10]","[43, 18, 19, 4, 5]","[5, 12, 29, 24, 18]"
02158,"[1, 2, 1, 5, 13]","[4, 0, 2, 10, 6]","[1, 1, 0, 6, 14]","[0, 0, 5, 9, 6]"
02159,"[0, 3, 3, 7, 8]","[1, 2, 4, 6, 8]","[1, 9, 5, 4, 2]","[0, 0, 10, 8, 3]"
02160,,,,
02161,,,,
02162,,,,
02170,,,,
02180,,,,
02182,,,,
02191,"[3, 0, 2, 5, 5]","[4, 2, 3, 3, 3]","[2, 8, 1, 4, 0]","[0, 1, 8, 4, 2]"
02192,,,,
02193,,,,
02203,"[0, 0, 2, 7, 8]","[0, 0, 3, 6, 8]","[0, 0, 1, 4, 12]","[0, 1, 12, 2, 2]"
02204,,,,
02205,,,,
02209,,,,
02211,,,,
02217,,,,
02221,,,,
02223,"[16, 13, 18, 13, 10]","[13, 17, 16, 11, 10]","[1, 8, 10, 21, 27]","[1, 14, 31, 10, 11]"
02224,,,,
02229,"[0, 4, 6, 13, 5]","[1, 5, 4, 10, 8]","[3, 10, 9, 2, 4]","[0, 4, 17, 3, 4]"
02232,"[1, 6, 12, 14, 10]","[0, 11, 11, 7, 14]","[0, 2, 6, 18, 17]","[1, 11, 26, 3, 2]"
02233,,,,
02234,"[2, 2, 12, 13, 3]","[4, 3, 12, 8, 5]","[4, 6, 9, 8, 5]","[3, 8, 19, 2, 0]"
02238,,,,
02239,"[3, 6, 22, 35, 29]","[8, 8, 21, 31, 26]","[4, 16, 16, 34, 24]","[3, 6, 51, 29, 5]"
02242,"[0, 4, 1, 8, 8]","[1, 4, 6, 6, 4]","[1, 3, 7, 4, 6]","[0, 0, 4, 8, 9]"
02244,,,,
02246,"[0, 1, 1, 6, 10]","[0, 2, 3, 6, 7]","[0, 1, 3, 8, 6]","[1, 2, 9, 4, 2]"
02247,,,,
02249,"[2, 1, 3, 12, 15]","[3, 3, 6, 12, 8]","[1, 1, 7, 10, 13]","[0, 2, 13, 8, 8]"
02255,,,,
02256,,,,
02257,,,,
02258,"[0, 0, 2, 2, 7]","[1, 0, 0, 4, 6]","[0, 0, 1, 5, 5]","[0, 0, 3, 7, 1]"
02261,,,,
02263,"[4, 1, 4, 8, 3]","[4, 2, 5, 4, 5]","[2, 0, 6, 7, 5]","[0, 1, 14, 2, 2]"
02266,"[1, 3, 5, 18, 20]","[1, 2, 0, 16, 28]","[2, 4, 4, 9, 28]","[1, 2, 25, 12, 7]"
02267,"[0, 1, 5, 6, 13]","[3, 2, 2, 7, 9]","[1, 4, 3, 5, 10]","[2, 0, 5, 11, 5]"
02268,,,,
02269,"[0, 3, 4, 9, 10]","[0, 1, 6, 11, 8]","[0, 1, 3, 9, 13]","[0, 1, 13, 9, 3]"
02282,,,,
02285,,,,
02287,"[0, 0, 2, 9, 13]","[0, 1, 3, 7, 13]","[0, 1, 2, 9, 12]","[0, 2, 12, 5, 5]"
02289,"[1, 1, 5, 10, 12]","[4, 4, 6, 10, 5]","[1, 4, 4, 12, 8]","[0, 1, 6, 10, 12]"
02291,,,,
02312,"[0, 2, 9, 7, 11]","[0, 1, 10, 10, 7]","[1, 2, 11, 5, 9]","[2, 4, 12, 6, 4]"
02314,"[1, 2, 5, 5, 3]","[1, 2, 5, 5, 3]","[0, 7, 5, 4, 0]","[0, 5, 7, 3, 1]"
02318,"[7, 7, 10, 7, 2]","[8, 12, 10, 2, 1]","[5, 11, 9, 5, 3]","[0, 6, 15, 9, 3]"
02320,,,,
02321,"[1, 0, 1, 5, 4]","[1, 1, 0, 5, 4]","[1, 3, 4, 2, 1]","[0, 0, 5, 4, 2]"
02322,,,,
02323,"[0, 3, 10, 24, 20]","[2, 5, 15, 21, 14]","[1, 6, 10, 17, 22]","[0, 8, 24, 15, 7]"
02324,,,,
02326,,,,
02327,,,,
02332,"[2, 7, 9, 8, 0]","[7, 4, 9, 4, 2]","[8, 4, 9, 4, 1]","[0, 6, 15, 2, 3]"
02346,,,,
02362,,,,
02363,,,,
02369,"[2, 3, 11, 1, 0]","[3, 4, 7, 3, 0]","[1, 2, 5, 7, 2]","[1, 4, 10, 2, 0]"
02393,"[1, 3, 12, 35, 32]","[1, 5, 10, 32, 34]","[1, 7, 24, 20, 29]","[11, 13, 44, 8, 6]"
02402,"[1, 7, 30, 62, 43]","[6, 24, 38, 47, 24]","[1, 7, 33, 60, 39]","[5, 27, 72, 31, 5]"
02403,,,,
02405,"[0, 2, 5, 19, 21]","[1, 6, 13, 11, 16]","[1, 4, 4, 22, 16]","[2, 2, 10, 17, 16]"
