COURSE,F23_GRADE_12,F23_GRADE_10,F23_GRADE_7,F23_GRADE_4,F23_GRADE_02,F23_GRADE_00,F23_GRADE_MINUS_3,F23_PASSED,F23_FAILED,F23_ABSENT
01005,106.0,207.0,330.0,87.0,2.0,0.0,0.0,0.0,174.0,149.0
01006,24.0,35.0,58.0,16.0,2.0,0.0,0.0,0.0,46.0,1.0
01015,10.0,14.0,17.0,8.0,0.0,0.0,0.0,0.0,19.0,1.0
01016,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01017,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01018,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01019,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01020,No data,No data,No data,No data,No data,No data,No data,68,8,5
01025,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01034,0,0,1,0,1,2,2,No data,No data,No data
01035,6,16,46,22,16,28,5,No data,No data,15
01037,12,18,26,40,46,62,6,No data,No data,16
01125,18,23,4,0,0,0,0,No data,No data,No data
01227,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01237,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01238,5,4,1,1,0,0,0,No data,No data,3
01257,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01325,6,8,8,2,2,7,0,No data,No data,4
01405,10,0,1,0,0,0,0,No data,No data,1
01410,3,13,14,14,4,2,12,No data,No data,1
01415,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01418,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01426,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01527,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01617,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01621,4,1,1,0,0,2,0,No data,No data,1
01622,11,9,3,0,0,0,0,No data,No data,No data
01666,37,14,3,0,0,0,0,No data,No data,1
01715,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01716,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01901,13,39,63,45,24,99,48,No data,No data,111
01904,1,0,3,4,1,1,2,No data,No data,No data
01910,1,1,2,2,0,2,2,No data,No data,7
01920,70,121,161,99,38,106,59,No data,No data,120
02101,0,2,7,5,7,5,3,No data,No data,3
02102,18,19,17,7,0,6,0,No data,No data,3
02105,45,71,97,52,40,60,8,No data,No data,46
02110,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02121,0,4,2,1,0,0,0,No data,No data,1
02122,31,23,7,0,0,0,0,No data,No data,1
02128,No data,No data,No data,No data,No data,No data,No data,63,1,No data
02132,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02135,14,36,7,8,3,7,0,No data,No data,7
02138,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02139,11,24,13,2,2,5,1,No data,No data,2
02141,4,17,34,26,17,17,5,No data,No data,13
02148,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02155,0,0,1,0,1,2,0,No data,No data,1
02156,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02157,1,4,2,5,6,7,5,No data,No data,1
02158,0,1,2,3,0,0,0,No data,No data,No data
02159,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02160,23,9,6,5,0,9,0,No data,No data,4
02161,17,13,49,34,9,2,0,No data,No data,15
02162,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02170,75,68,45,30,18,11,1,No data,No data,9
02180,38,63,69,47,8,0,0,No data,No data,8
02182,8,37,18,1,0,0,0,No data,No data,No data
02191,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02192,5,32,4,0,0,0,0,No data,No data,No data
02193,9,36,29,0,0,0,0,No data,No data,4
02203,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02204,1,5,6,0,0,0,0,No data,No data,1
02205,2,2,2,2,3,1,0,No data,No data,1
02209,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02211,15,0,5,6,0,0,0,No data,No data,1
02217,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02221,19,38,69,32,17,10,0,No data,No data,17
02223,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02224,2,4,8,2,0,1,0,No data,No data,1
02229,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02232,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02233,19,36,26,23,11,11,0,No data,No data,16
02234,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02238,14,9,13,9,8,2,0,No data,No data,7
02239,1,2,0,1,0,0,0,No data,No data,1
02242,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02244,24,21,20,8,5,2,0,No data,No data,4
02245,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02246,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02247,14,21,7,7,0,0,0,No data,No data,2
02249,0,4,7,1,0,1,0,No data,No data,1
02255,14,12,14,5,4,3,0,No data,No data,3
02256,5,6,0,3,1,2,0,No data,No data,2
02257,4,9,2,0,2,1,0,No data,No data,1
02258,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02263,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02266,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02267,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02268,24,15,20,8,1,8,0,No data,No data,5
02269,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02282,24,14,18,11,7,16,1,No data,No data,17
02285,33,47,61,39,4,4,5,No data,No data,1
02287,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02289,0,0,0,2,0,1,1,No data,No data,No data
02291,40,41,80,60,6,0,0,No data,No data,6
02312,1,0,0,1,2,0,0,No data,No data,3
02314,0,0,1,1,1,2,0,No data,No data,1
02318,9,13,8,6,2,4,0,No data,No data,11
02320,1,3,8,5,4,3,2,No data,No data,3
02321,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02322,14,22,29,19,12,11,7,No data,No data,15
02323,2,11,11,34,10,36,7,No data,No data,24
02324,14,19,27,9,10,26,0,No data,No data,17
02326,10,28,63,30,12,34,7,No data,No data,38
02327,9,25,38,27,14,30,3,No data,No data,23
02332,1,1,1,2,1,0,0,No data,No data,2
02346,2,4,17,36,42,42,4,No data,No data,21
02362,1,10,1,6,3,10,0,No data,No data,9
02363,3,15,23,18,10,1,0,No data,No data,5
02369,No data,No data,No data,No data,No data,No data,No data,20,2,No data
02393,No data,No data,No data,No data,No data,No data,No data,16,4,4
02402,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02403,11,32,51,36,23,44,6,No data,No data,26
02405,3,1,2,4,4,4,0,No data,No data,6
02407,0,0,2,0,1,3,0,No data,No data,2
02409,3,1,1,1,0,1,0,No data,No data,1
02411,8,24,44,36,25,27,19,No data,No data,17
02413,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02417,48,49,43,13,13,4,0,No data,No data,5
02418,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02421,5,8,2,2,0,1,2,No data,No data,No data
02424,10,7,8,8,1,3,0,No data,No data,1
02425,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02427,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02429,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02431,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02435,17,58,15,0,0,6,0,No data,No data,No data
02441,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02443,No data,No data,No data,No data,No data,No data,No data,128,6,5
02445,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02450,28,65,101,82,38,63,15,No data,No data,52
02455,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02456,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02458,2,3,1,2,2,2,0,No data,No data,2
02461,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02462,21,19,17,8,7,3,1,No data,No data,10
02463,28,24,18,5,1,2,0,No data,No data,3
02464,23,24,23,14,8,5,0,No data,No data,11
02465,8,13,20,13,12,9,3,No data,No data,11
02466,47,23,6,0,0,0,0,No data,No data,No data
02467,11,10,20,11,2,0,0,No data,No data,No data
02471,2,2,3,0,2,1,1,No data,No data,1
02476,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02477,34,14,12,5,3,4,1,No data,No data,5
02492,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02502,51,35,83,19,15,12,4,No data,No data,19
02504,19,23,27,27,21,11,0,No data,No data,16
02506,12,27,33,13,5,3,0,No data,No data,7
02507,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02509,4,7,4,0,0,0,0,No data,No data,No data
02510,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02514,10,17,28,19,6,2,0,No data,No data,2
02525,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02526,35,24,18,3,3,2,0,No data,No data,1
02561,0,1,1,0,1,1,0,No data,No data,1
02562,0,0,3,1,0,0,0,No data,No data,1
02563,6,3,5,0,0,0,0,No data,No data,1
02566,3,9,7,0,1,0,0,No data,No data,No data
02580,10,5,6,3,2,4,0,No data,No data,2
02582,3,40,53,16,1,1,0,No data,No data,7
02586,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02601,26,22,33,19,5,30,0,No data,No data,18
02610,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02612,14,10,19,10,5,4,0,No data,No data,9
02614,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02616,0,4,2,0,1,0,0,No data,No data,3
02619,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02623,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02624,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02631,47,63,61,46,10,62,22,No data,No data,29
02632,4,21,30,19,3,34,0,No data,No data,12
02633,11,33,71,54,4,14,0,No data,No data,16
02634,0,1,2,0,1,0,0,No data,No data,No data
02635,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02686,11,6,11,14,3,0,1,No data,No data,12
02687,6,0,3,0,0,2,0,No data,No data,2
02689,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02805,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02806,21,38,61,18,8,0,0,No data,No data,6
02807,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02808,9,28,21,0,0,0,0,No data,No data,1
02809,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02830,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02840,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02841,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02901,No data,No data,No data,No data,No data,No data,No data,37,1,No data
02910,No data,No data,No data,No data,No data,No data,No data,17,0,No data
02913,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02935,No data,No data,No data,No data,No data,No data,No data,16,3,1
02940,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02941,No data,No data,No data,No data,No data,No data,No data,4,0,No data
02946,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02949,No data,No data,No data,No data,No data,No data,No data,17,7,No data
02952,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02953,No data,No data,No data,No data,No data,No data,No data,18,2,No data
02955,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02960,No data,No data,No data,No data,No data,No data,No data,34,3,1
02969,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02975,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02976,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02979,No data,No data,No data,No data,No data,No data,No data,39,0,No data
02980,No data,No data,No data,No data,No data,No data,No data,25,0,No data
02981,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02G01,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02G02,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02G03,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02G04,2,2,1,0,0,0,0,No data,No data,1
02G05,2,2,1,0,0,0,0,No data,No data,No data
02G06,4,1,0,0,0,0,0,No data,No data,No data
02G07,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02G08,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02G09,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
