COURSE,E23_LEARNING,E23_MOTIVATION,E23_FEEDBACK,E23_WORKLOAD
01001,"[10, 23, 85, 271, 315]","[30, 76, 180, 270, 137]","[25, 71, 124, 286, 187]","[12, 72, 206, 243, 161]"
01002,,,,
01003,"[0, 2, 11, 44, 74]","[1, 6, 22, 36, 63]","[3, 9, 17, 41, 57]","[1, 15, 38, 45, 28]"
01004,,,,
01005,"[1, 0, 3, 7, 3]","[2, 1, 5, 3, 2]","[0, 2, 5, 1, 5]","[0, 3, 4, 2, 4]"
01006,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
01015,,,,
01017,"[3, 6, 22, 46, 25]","[8, 15, 30, 34, 14]","[5, 14, 20, 43, 18]","[4, 15, 40, 28, 14]"
01018,"[0, 1, 0, 8, 16]","[0, 0, 2, 9, 14]","[0, 0, 0, 5, 19]","[1, 2, 13, 7, 2]"
01019,"[1, 0, 1, 10, 8]","[2, 3, 5, 9, 1]","[2, 0, 6, 7, 4]","[1, 0, 12, 6, 1]"
01020,,,,
01025,"[0, 0, 4, 5, 17]","[0, 2, 4, 6, 13]","[0, 2, 0, 2, 21]","[0, 1, 10, 10, 4]"
01034,"[1, 1, 9, 28, 16]","[4, 7, 9, 20, 14]","[3, 5, 9, 19, 18]","[0, 3, 19, 26, 6]"
01035,"[0, 3, 9, 46, 36]","[2, 7, 29, 30, 24]","[1, 3, 13, 31, 44]","[1, 11, 38, 28, 14]"
01037,,,,
01125,,,,
01227,,,,
01237,"[0, 2, 4, 24, 20]","[1, 2, 7, 26, 14]","[0, 2, 3, 18, 26]","[2, 4, 30, 9, 5]"
01238,,,,
01257,"[0, 0, 0, 2, 2]","[0, 0, 0, 1, 3]","[0, 0, 0, 1, 3]","[0, 0, 1, 1, 2]"
01325,,,,
01405,,,,
01410,,,,
01415,"[0, 0, 0, 1, 6]","[0, 0, 0, 0, 7]","[0, 0, 0, 1, 6]","[0, 1, 5, 1, 0]"
01418,"[1, 2, 2, 7, 25]","[3, 4, 4, 13, 13]","[1, 1, 4, 12, 19]","[0, 5, 13, 12, 7]"
01426,"[1, 0, 1, 5, 3]","[0, 1, 3, 6, 0]","[4, 1, 2, 3, 0]","[2, 3, 3, 1, 1]"
01527,"[0, 0, 0, 0, 4]","[0, 0, 0, 0, 4]","[0, 0, 0, 1, 3]","[0, 0, 1, 3, 0]"
01617,"[5, 4, 17, 27, 15]","[9, 8, 21, 15, 14]","[4, 6, 18, 28, 11]","[2, 7, 35, 17, 5]"
01621,,,,
01622,,,,
01666,,,,
01715,"[0, 0, 0, 0, 9]","[0, 0, 0, 0, 9]","[0, 0, 0, 0, 9]","[0, 0, 3, 5, 1]"
01716,,,,
01901,"[2, 15, 49, 140, 149]","[11, 28, 86, 129, 96]","[11, 44, 94, 118, 81]","[12, 50, 148, 95, 43]"
01904,"[5, 16, 19, 18, 10]","[16, 17, 15, 17, 4]","[3, 6, 18, 23, 19]","[1, 16, 27, 15, 10]"
01910,,,,
01915,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
01920,"[0, 3, 13, 23, 29]","[2, 6, 23, 18, 16]","[1, 4, 11, 24, 25]","[0, 4, 33, 21, 7]"
02002,"[106, 121, 128, 183, 104]","[151, 158, 133, 119, 73]","[184, 149, 148, 98, 51]","[44, 78, 187, 164, 151]"
02003,"[2, 10, 22, 44, 74]","[2, 11, 24, 57, 55]","[14, 26, 24, 47, 39]","[7, 16, 48, 48, 29]"
02100,"[7, 8, 15, 16, 15]","[5, 11, 16, 20, 9]","[4, 5, 15, 25, 12]","[4, 6, 26, 18, 7]"
02104,"[0, 1, 2, 7, 6]","[2, 2, 3, 5, 4]","[4, 1, 9, 1, 1]","[0, 4, 5, 5, 2]"
02105,,,,
02110,"[0, 0, 5, 21, 23]","[3, 5, 7, 16, 17]","[4, 4, 12, 16, 13]","[1, 3, 23, 16, 6]"
02112,"[0, 1, 0, 5, 10]","[0, 1, 1, 6, 8]","[0, 1, 4, 6, 5]","[0, 3, 5, 5, 3]"
02113,,,,
02114,"[0, 0, 1, 0, 2]","[0, 0, 0, 1, 2]","[0, 0, 0, 2, 1]","[0, 2, 0, 1, 0]"
02116,,,,
02118,,,,
02122,,,,
02123,,,,
02128,,,,
02132,"[0, 0, 2, 6, 17]","[0, 0, 1, 9, 14]","[1, 0, 3, 6, 14]","[0, 4, 9, 9, 2]"
02135,,,,
02138,"[5, 9, 9, 16, 17]","[4, 15, 16, 13, 8]","[5, 10, 11, 16, 14]","[1, 6, 15, 17, 15]"
02139,,,,
02141,,,,
02143,,,,
02148,"[0, 0, 3, 9, 2]","[1, 0, 3, 8, 2]","[1, 2, 7, 4, 0]","[0, 3, 5, 4, 2]"
02155,"[0, 4, 4, 7, 8]","[2, 1, 6, 12, 2]","[2, 3, 2, 15, 1]","[0, 3, 12, 4, 3]"
02156,"[0, 4, 5, 7, 4]","[0, 6, 6, 3, 5]","[0, 1, 2, 3, 13]","[2, 3, 11, 3, 1]"
02157,"[4, 7, 7, 14, 16]","[11, 9, 10, 7, 11]","[19, 13, 5, 8, 3]","[3, 3, 22, 11, 9]"
02158,"[0, 0, 1, 9, 20]","[0, 2, 8, 10, 10]","[0, 0, 1, 8, 21]","[0, 3, 6, 13, 8]"
02159,"[0, 4, 4, 11, 7]","[1, 0, 5, 11, 8]","[2, 5, 8, 4, 6]","[1, 3, 13, 5, 3]"
02160,,,,
02161,,,,
02162,"[2, 2, 1, 3, 3]","[2, 2, 3, 2, 2]","[0, 1, 1, 0, 9]","[0, 0, 3, 5, 3]"
02170,,,,
02180,,,,
02182,,,,
02191,"[0, 0, 0, 3, 6]","[0, 0, 1, 4, 4]","[0, 1, 1, 3, 4]","[0, 1, 3, 4, 1]"
02192,,,,
02193,,,,
02195,,,,
02196,,,,
02201,,,,
02203,"[3, 2, 4, 9, 8]","[3, 2, 3, 13, 5]","[2, 0, 4, 11, 9]","[0, 3, 10, 7, 6]"
02204,,,,
02205,,,,
02209,"[0, 0, 1, 5, 2]","[0, 1, 3, 4, 0]","[1, 1, 3, 2, 1]","[0, 0, 3, 2, 3]"
02211,,,,
02214,,,,
02223,,,,
02224,,,,
02226,"[0, 0, 5, 17, 6]","[1, 2, 12, 3, 10]","[2, 5, 7, 7, 7]","[0, 2, 17, 5, 4]"
02232,"[2, 2, 10, 9, 8]","[3, 3, 7, 9, 8]","[2, 0, 8, 9, 10]","[1, 2, 12, 10, 4]"
02233,,,,
02234,"[2, 4, 8, 11, 16]","[2, 2, 7, 12, 18]","[3, 4, 5, 9, 20]","[1, 5, 19, 7, 9]"
02238,,,,
02239,"[6, 12, 23, 36, 31]","[10, 15, 22, 27, 32]","[6, 9, 19, 35, 37]","[4, 6, 42, 33, 20]"
02242,"[1, 4, 5, 7, 9]","[6, 7, 6, 3, 4]","[0, 1, 6, 11, 8]","[0, 0, 6, 11, 9]"
02244,,,,
02245,"[1, 2, 1, 3, 9]","[1, 3, 1, 3, 7]","[0, 0, 1, 4, 10]","[0, 0, 3, 3, 9]"
02246,"[0, 0, 2, 5, 11]","[1, 1, 2, 6, 8]","[0, 0, 2, 6, 10]","[1, 1, 8, 4, 4]"
02247,,,,
02249,"[1, 1, 7, 11, 8]","[3, 1, 7, 6, 10]","[0, 2, 3, 10, 12]","[0, 7, 12, 6, 3]"
02255,,,,
02256,,,,
02257,,,,
02258,"[0, 5, 1, 9, 8]","[6, 2, 7, 5, 1]","[3, 8, 2, 4, 4]","[1, 4, 8, 5, 3]"
02263,"[2, 5, 6, 12, 12]","[4, 2, 6, 13, 12]","[1, 3, 5, 13, 15]","[1, 7, 17, 7, 4]"
02266,"[3, 4, 8, 29, 10]","[4, 4, 8, 19, 18]","[1, 1, 3, 16, 32]","[1, 5, 23, 16, 8]"
02267,"[1, 4, 4, 4, 8]","[6, 0, 4, 7, 4]","[3, 8, 3, 2, 5]","[0, 1, 7, 6, 7]"
02268,,,,
02269,"[0, 0, 5, 14, 14]","[0, 2, 7, 9, 14]","[1, 0, 7, 9, 15]","[0, 1, 13, 11, 7]"
02282,,,,
02285,,,,
02287,"[0, 0, 2, 6, 19]","[1, 0, 3, 8, 15]","[0, 0, 2, 11, 14]","[0, 1, 15, 5, 6]"
02289,"[0, 3, 0, 7, 9]","[2, 1, 6, 2, 7]","[2, 6, 5, 2, 3]","[0, 2, 7, 5, 4]"
02291,,,,
02314,"[1, 8, 14, 31, 39]","[0, 11, 19, 31, 30]","[2, 8, 24, 23, 33]","[6, 14, 26, 20, 23]"
02316,"[0, 0, 1, 1, 8]","[0, 1, 1, 3, 5]","[0, 1, 1, 2, 6]","[0, 0, 3, 3, 4]"
02317,"[1, 0, 4, 3, 6]","[1, 0, 3, 2, 8]","[1, 0, 3, 6, 4]","[1, 4, 3, 5, 1]"
02318,"[2, 5, 5, 11, 7]","[4, 9, 7, 5, 5]","[6, 3, 9, 5, 7]","[2, 0, 15, 9, 4]"
02320,,,,
02321,"[0, 0, 0, 3, 9]","[0, 1, 0, 6, 5]","[1, 2, 7, 1, 1]","[0, 1, 6, 4, 1]"
02322,,,,
02323,"[2, 8, 14, 12, 18]","[4, 11, 13, 12, 12]","[4, 2, 12, 17, 17]","[2, 5, 24, 11, 9]"
02324,,,,
02326,,,,
02327,,,,
02332,"[3, 5, 9, 10, 2]","[2, 5, 14, 5, 2]","[2, 11, 7, 5, 3]","[0, 5, 12, 7, 4]"
02335,"[1, 3, 7, 13, 7]","[2, 7, 6, 8, 8]","[0, 10, 4, 9, 8]","[2, 5, 11, 7, 6]"
02346,,,,
02362,,,,
02363,,,,
02369,"[2, 11, 5, 6, 2]","[5, 9, 5, 5, 2]","[6, 6, 3, 6, 5]","[3, 3, 11, 6, 2]"
02393,"[2, 8, 17, 22, 38]","[2, 5, 13, 27, 38]","[1, 4, 12, 25, 41]","[14, 17, 33, 11, 10]"
02402,"[1, 8, 38, 82, 48]","[10, 26, 41, 62, 35]","[2, 14, 35, 87, 36]","[6, 31, 87, 37, 13]"
02403,,,,
02405,"[0, 3, 4, 8, 18]","[0, 2, 7, 9, 14]","[0, 1, 0, 14, 17]","[0, 1, 11, 17, 3]"
02407,"[1, 1, 1, 9, 2]","[1, 3, 0, 8, 1]","[4, 2, 3, 3, 1]","[0, 1, 4, 5, 3]"
02409,"[6, 4, 11, 14, 10]","[11, 7, 7, 13, 6]","[12, 14, 9, 6, 4]","[3, 10, 26, 5, 1]"
02411,"[0, 2, 6, 16, 11]","[0, 3, 8, 17, 6]","[4, 6, 10, 10, 4]","[1, 3, 14, 12, 4]"
02413,"[0, 0, 0, 0, 8]","[0, 0, 1, 1, 6]","[0, 0, 2, 0, 6]","[0, 0, 6, 2, 0]"
02417,,,,
02418,"[0, 1, 1, 3, 3]","[1, 2, 3, 1, 1]","[1, 3, 2, 1, 1]","[0, 0, 3, 2, 3]"
02421,,,,
02424,,,,
02425,"[0, 0, 0, 1, 5]","[0, 0, 1, 1, 4]","[0, 2, 0, 0, 3]","[0, 0, 4, 1, 1]"
02427,"[0, 0, 1, 3, 4]","[0, 1, 3, 4, 0]","[0, 1, 1, 5, 1]","[0, 3, 3, 2, 0]"
02429,"[2, 1, 1, 5, 2]","[2, 2, 2, 4, 1]","[0, 0, 2, 3, 6]","[1, 2, 4, 2, 2]"
02431,"[0, 1, 4, 6, 15]","[1, 3, 6, 6, 10]","[1, 11, 2, 6, 6]","[0, 3, 15, 5, 3]"
02435,,,,
02441,"[0, 0, 2, 0, 6]","[0, 1, 0, 3, 4]","[1, 0, 0, 3, 4]","[0, 1, 3, 2, 2]"
02443,,,,
02445,"[3, 3, 1, 6, 0]","[2, 4, 1, 6, 0]","[2, 5, 2, 4, 0]","[1, 6, 3, 3, 0]"
02450,"[10, 16, 39, 76, 71]","[27, 36, 37, 73, 37]","[7, 39, 50, 76, 37]","[3, 8, 68, 69, 59]"
02455,"[0, 0, 3, 13, 17]","[0, 0, 2, 11, 20]","[0, 0, 0, 4, 28]","[0, 2, 14, 9, 7]"
02456,"[4, 9, 22, 38, 50]","[10, 19, 23, 27, 42]","[12, 21, 23, 28, 36]","[1, 5, 30, 45, 40]"
02458,"[0, 1, 6, 2, 3]","[2, 2, 4, 0, 4]","[0, 1, 0, 6, 5]","[0, 1, 9, 1, 1]"
02460,,,,
02461,"[0, 1, 0, 3, 2]","[1, 1, 2, 1, 1]","[1, 1, 2, 0, 2]","[0, 3, 2, 1, 0]"
02462,,,,
02463,,,,
02464,,,,
02465,,,,
02466,,,,
02467,,,,
02471,"[1, 0, 6, 8, 26]","[3, 1, 4, 12, 21]","[0, 1, 2, 11, 27]","[0, 3, 5, 15, 18]"
02476,"[0, 0, 2, 5, 38]","[0, 1, 2, 8, 33]","[3, 4, 14, 10, 13]","[1, 4, 18, 13, 8]"
02477,,,,
02492,"[5, 1, 4, 4, 6]","[4, 3, 3, 5, 5]","[1, 2, 1, 8, 7]","[1, 2, 9, 3, 4]"
02501,,,,
02502,"[1, 4, 15, 48, 43]","[1, 5, 22, 37, 44]","[6, 20, 35, 23, 24]","[7, 15, 55, 17, 13]"
02504,,,,
02506,,,,
02509,,,,
02510,,,,
02516,"[0, 0, 1, 0, 10]","[0, 0, 1, 2, 8]","[0, 2, 1, 2, 6]","[0, 1, 9, 0, 1]"
02525,"[0, 2, 2, 11, 12]","[2, 0, 7, 9, 9]","[1, 0, 2, 12, 12]","[0, 6, 12, 6, 3]"
02526,,,,
02561,"[0, 1, 3, 5, 12]","[2, 0, 3, 6, 10]","[2, 1, 5, 7, 5]","[0, 1, 3, 12, 5]"
02562,"[0, 0, 0, 5, 5]","[0, 0, 1, 2, 7]","[0, 3, 1, 3, 3]","[0, 0, 3, 4, 3]"
02563,,,,
02566,,,,
02580,,,,
02582,,,,
02586,"[0, 1, 2, 2, 5]","[3, 0, 2, 3, 2]","[0, 0, 2, 5, 3]","[0, 2, 4, 2, 2]"
02601,"[1, 4, 6, 31, 20]","[3, 6, 16, 20, 16]","[2, 0, 9, 21, 29]","[0, 10, 33, 7, 11]"
02610,"[0, 1, 6, 14, 11]","[1, 6, 10, 12, 2]","[0, 2, 8, 15, 6]","[0, 0, 23, 6, 2]"
02612,,,,
02613,,,,
