COURSE,F26_LEARNING,F26_MOTIVATION,F26_FEEDBACK,F26_WORKLOAD
01001,,,,
01002,"[3, 12, 35, 140, 181]","[15, 36, 80, 143, 91]","[6, 25, 66, 152, 116]","[7, 51, 143, 113, 48]"
01003,,,,
01004,"[0, 0, 2, 8, 35]","[0, 1, 7, 12, 25]","[0, 0, 5, 11, 29]","[0, 6, 15, 18, 6]"
01017,,,,
01018,,,,
01020,"[1, 5, 7, 5, 4]","[2, 8, 8, 3, 1]","[0, 1, 4, 8, 9]","[0, 5, 14, 3, 0]"
01025,,,,
01034,,,,
01035,,,,
01037,"[0, 1, 3, 34, 100]","[1, 4, 10, 63, 60]","[0, 2, 18, 58, 60]","[6, 22, 66, 28, 15]"
01125,"[0, 0, 1, 3, 4]","[0, 0, 1, 3, 4]","[0, 0, 0, 3, 5]","[1, 1, 5, 1, 0]"
01227,"[0, 0, 0, 5, 12]","[0, 0, 0, 5, 12]","[0, 1, 2, 5, 9]","[1, 0, 9, 4, 2]"
01237,,,,
01238,"[0, 1, 2, 3, 2]","[1, 1, 1, 1, 4]","[0, 0, 1, 5, 2]","[0, 1, 3, 2, 2]"
01257,,,,
01325,"[0, 0, 0, 3, 14]","[0, 0, 1, 6, 10]","[0, 0, 0, 1, 16]","[0, 0, 8, 7, 2]"
01405,"[0, 0, 0, 2, 10]","[0, 0, 1, 2, 8]","[0, 0, 0, 3, 8]","[0, 1, 9, 0, 1]"
01415,,,,
01418,,,,
01425,"[0, 0, 1, 2, 3]","[0, 0, 1, 3, 2]","[0, 0, 1, 2, 3]","[0, 1, 2, 1, 2]"
01426,,,,
01527,,,,
01617,,,,
01621,"[0, 0, 0, 1, 6]","[0, 0, 0, 0, 7]","[0, 0, 0, 0, 7]","[0, 1, 2, 3, 1]"
01622,"[0, 0, 1, 4, 2]","[0, 0, 2, 5, 0]","[1, 1, 0, 3, 2]","[0, 0, 1, 3, 3]"
01666,"[0, 0, 0, 0, 2]","[0, 0, 1, 0, 1]","[0, 0, 0, 1, 1]","[0, 0, 1, 1, 0]"
01715,,,,
01716,"[0, 0, 0, 1, 4]","[0, 0, 0, 3, 2]","[0, 0, 0, 2, 3]","[0, 2, 1, 2, 0]"
01811,"[0, 0, 1, 4, 2]","[0, 1, 2, 2, 2]","[1, 2, 1, 3, 0]","[0, 0, 5, 2, 0]"
01822,,,,
01904,,,,
01911,,,,
01915,,,,
01922,"[1, 11, 15, 66, 112]","[7, 15, 37, 69, 75]","[6, 20, 20, 49, 108]","[7, 22, 90, 49, 35]"
02002,,,,
02003,,,,
02100,,,,
02104,,,,
02105,"[1, 1, 10, 41, 33]","[2, 5, 18, 32, 29]","[0, 2, 15, 44, 25]","[3, 8, 55, 11, 9]"
02110,,,,
02112,,,,
02113,"[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 2, 0, 0]"
02114,,,,
02116,,,,
02118,"[0, 1, 0, 1, 3]","[0, 1, 0, 3, 1]","[0, 1, 1, 2, 1]","[0, 0, 2, 1, 2]"
02122,"[0, 0, 0, 4, 3]","[0, 0, 0, 3, 4]","[0, 1, 0, 3, 3]","[1, 0, 4, 1, 1]"
02123,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 1, 0]","[0, 0, 0, 1, 0]"
02132,,,,
02135,"[2, 2, 6, 6, 3]","[4, 3, 3, 5, 4]","[1, 1, 3, 6, 8]","[1, 5, 9, 2, 2]"
02138,,,,
02139,"[0, 2, 6, 9, 10]","[0, 1, 2, 8, 16]","[1, 2, 7, 9, 8]","[2, 6, 16, 3, 0]"
02141,"[0, 3, 3, 9, 13]","[3, 2, 7, 10, 6]","[0, 2, 3, 11, 12]","[0, 1, 13, 10, 4]"
02143,"[0, 0, 0, 2, 1]","[0, 0, 0, 1, 2]","[0, 0, 0, 0, 3]","[0, 0, 1, 0, 2]"
02148,,,,
02155,,,,
02156,,,,
02157,,,,
02159,,,,
