COURSE,E25_GRADE_12,E25_GRADE_10,E25_GRADE_7,E25_GRADE_4,E25_GRADE_02,E25_GRADE_00,E25_GRADE_MINUS_3,E25_PASSED,E25_FAILED,E25_ABSENT
01001,244.0,176.0,196.0,171.0,85.0,158.0,0.0,No data,No data,50.0
01002,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01003,58,18,25,14,4,14,0,No data,No data,10
01004,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01017,9,20,50,43,38,55,0,No data,No data,14
01018,16,13,10,2,1,3,0,No data,No data,3
01020,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01025,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01034,30,39,41,23,23,42,6,No data,No data,16
01035,17,52,57,54,49,65,8,No data,No data,16
01037,1,0,1,2,2,4,0,No data,No data,No data
01125,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01227,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01237,17,48,36,7,3,5,2,No data,No data,No data
01238,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01257,8,1,3,0,0,0,0,No data,No data,1
01325,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01405,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01415,10,3,2,1,0,0,0,No data,No data,2
01418,15,26,22,10,1,6,0,No data,No data,4
01425,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01426,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01527,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01617,20,50,36,36,7,6,0,No data,No data,8
01621,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01622,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01666,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01715,1,4,3,7,5,1,2,No data,No data,1
01716,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01811,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01822,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01904,15,18,29,28,20,13,5,No data,No data,14
01911,No data,No data,No data,No data,No data,No data,No data,575,127,57
01915,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
