COURSE,E22_LEARNING,E22_MOTIVATION,E22_FEEDBACK,E22_WORKLOAD
01005,"[7, 6, 38, 143, 356]","[21, 54, 108, 220, 143]","[17, 42, 107, 172, 206]","[9, 30, 139, 191, 173]"
01006,"[1, 0, 4, 26, 50]","[2, 3, 12, 33, 28]","[0, 1, 10, 42, 25]","[3, 3, 16, 33, 23]"
01015,"[0, 0, 2, 15, 21]","[0, 5, 9, 11, 13]","[1, 2, 7, 19, 9]","[1, 1, 7, 18, 10]"
01016,,,,
01017,"[5, 4, 33, 65, 29]","[7, 20, 40, 46, 17]","[1, 16, 26, 54, 34]","[7, 29, 61, 24, 10]"
01018,"[0, 0, 0, 6, 14]","[0, 0, 2, 8, 10]","[0, 0, 0, 4, 16]","[1, 4, 14, 1, 0]"
01019,"[0, 2, 6, 5, 9]","[0, 3, 5, 6, 6]","[0, 1, 3, 10, 6]","[1, 7, 8, 2, 3]"
01020,,,,
01025,"[0, 0, 1, 5, 19]","[0, 1, 1, 9, 14]","[0, 0, 1, 1, 23]","[0, 1, 13, 10, 1]"
01034,"[2, 1, 5, 10, 23]","[3, 3, 9, 10, 16]","[1, 4, 3, 8, 25]","[2, 2, 17, 10, 10]"
01035,"[0, 6, 6, 28, 42]","[2, 10, 10, 33, 27]","[0, 0, 10, 29, 41]","[1, 7, 41, 24, 9]"
01037,,,,
01125,,,,
01227,,,,
01237,"[0, 1, 7, 14, 13]","[0, 5, 6, 15, 9]","[1, 1, 7, 13, 13]","[0, 5, 16, 9, 5]"
01238,,,,
01257,"[0, 0, 0, 1, 5]","[0, 0, 0, 1, 5]","[0, 0, 0, 1, 5]","[0, 0, 3, 2, 1]"
01325,,,,
01405,,,,
01410,,,,
01415,"[0, 0, 1, 1, 5]","[0, 0, 0, 4, 3]","[0, 0, 0, 3, 4]","[1, 5, 1, 0, 0]"
01418,"[1, 0, 1, 13, 24]","[3, 1, 9, 14, 12]","[0, 1, 4, 18, 16]","[0, 6, 15, 15, 3]"
01426,"[0, 0, 0, 1, 0]","[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]"
