COURSE,F23_LEARNING,F23_MOTIVATION,F23_FEEDBACK,F23_WORKLOAD
01005,"[1, 7, 21, 88, 228]","[11, 30, 80, 134, 84]","[5, 26, 40, 136, 130]","[3, 21, 96, 118, 97]"
01006,"[2, 0, 4, 7, 40]","[1, 2, 7, 13, 30]","[3, 0, 2, 20, 27]","[2, 2, 15, 20, 14]"
01015,"[0, 1, 2, 9, 18]","[1, 8, 3, 7, 11]","[0, 1, 4, 8, 16]","[1, 3, 10, 8, 7]"
01016,,,,
01017,,,,
01018,,,,
01019,,,,
01020,"[0, 3, 7, 9, 8]","[3, 2, 6, 12, 4]","[1, 2, 1, 10, 13]","[0, 1, 12, 10, 4]"
01025,,,,
01034,,,,
01035,"[0, 0, 2, 6, 30]","[0, 0, 5, 10, 23]","[0, 1, 7, 8, 22]","[0, 4, 21, 11, 2]"
01037,"[0, 0, 2, 24, 38]","[0, 4, 13, 28, 19]","[1, 6, 12, 17, 28]","[4, 9, 25, 15, 11]"
01125,"[0, 0, 1, 5, 19]","[0, 0, 3, 6, 16]","[0, 0, 1, 7, 17]","[0, 6, 14, 3, 2]"
01227,"[0, 0, 1, 4, 6]","[0, 1, 3, 3, 4]","[0, 0, 0, 5, 6]","[0, 1, 5, 3, 2]"
01237,,,,
01238,"[0, 1, 0, 1, 3]","[1, 1, 0, 0, 3]","[0, 0, 1, 2, 2]","[0, 0, 3, 1, 1]"
01257,,,,
01325,"[0, 0, 0, 3, 4]","[0, 0, 3, 3, 1]","[0, 0, 0, 3, 4]","[0, 1, 5, 0, 1]"
01405,"[0, 0, 0, 0, 8]","[0, 0, 1, 1, 6]","[0, 1, 1, 0, 6]","[0, 2, 4, 2, 0]"
01410,"[0, 1, 4, 11, 6]","[1, 5, 7, 6, 3]","[0, 5, 2, 11, 4]","[2, 1, 10, 5, 4]"
01415,,,,
01418,,,,
01426,,,,
01527,,,,
01617,,,,
