COURSE,E26_GRADE_12,E26_GRADE_10,E26_GRADE_7,E26_GRADE_4,E26_GRADE_02,E26_GRADE_00,E26_GRADE_MINUS_3,E26_PASSED,E26_FAILED,E26_ABSENT
02275,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02276,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02277,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02278,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02280,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02282,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02287,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02289,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02291,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02311,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02312,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02321,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02322,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02323,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02324,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02325,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02326,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02327,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02328,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02329,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02335,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02339,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02343,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02349,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02369,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02402,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02403,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02405,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02407,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02409,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02411,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02413,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02417,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02419,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02421,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02425,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02426,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02427,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02428,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02429,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02431,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02435,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02441,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02443,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02445,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02451,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02452,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02455,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02456,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02458,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02460,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02461,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02462,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02463,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02464,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02465,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02466,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02467,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02471,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02476,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02477,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02492,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02501,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02503,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02504,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02510,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02515,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02516,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02517,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02518,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02525,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02526,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02561,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02562,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02563,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02566,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02581,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02582,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02586,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02601,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02611,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02612,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02613,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02614,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02615,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02616,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02619,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02623,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02624,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02635,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02686,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02687,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02689,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02805,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02806,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02807,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02808,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02810,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02820,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02830,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02840,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02841,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02901,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02935,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02946,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02949,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02955,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02960,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02980,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02981,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02982,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02983,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02984,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02988,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10031,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10033,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10034,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10035,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10036,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10037,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10060,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10065,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10080,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10081,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10102,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10104,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10112,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10122,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10200,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10208,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10209,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10240,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10255,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10260,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10302,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10304,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10306,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10314,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10315,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10316,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10317,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10319,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10321,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10325,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10331,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10333,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10337,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10339,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10346,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10350,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10380,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10384,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10385,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10386,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10387,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10400,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10401,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10402,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10405,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10406,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10411,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10414,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10415,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10420,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10506,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10507,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10508,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10509,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10511,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10512,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10514,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10515,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10519,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10520,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10521,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10530,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10540,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10550,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10590,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10603,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10605,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10610,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10750,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10850,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10851,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10852,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10855,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10862,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10863,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10869,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10870,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10871,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10916,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10935,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10960,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
10961,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12000,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12003,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12100,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12101,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12102,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12104,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12105,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12106,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12109,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12111,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12115,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12121,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12122,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12125,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12130,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12132,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12134,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12139,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12143,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12145,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12150,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12202,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12203,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12205,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12211,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12227,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12228,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12231,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12237,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12238,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12240,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12245,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12250,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12320,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12330,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12331,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12336,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12345,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12350,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12360,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12361,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12362,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12363,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12410,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12411,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12412,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12415,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12421,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12422,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12430,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12431,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12451,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12452,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12551,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12552,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12601,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12603,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12604,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12605,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12611,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12612,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12614,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12615,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12616,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12701,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12772,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12773,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12775,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12821,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12831,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12832,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12836,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12856,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12902,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12911,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12926,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12936,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12950,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12951,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12952,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12953,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12954,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12958,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
12B1B,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22001,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22002,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22003,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22005,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22006,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22007,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22050,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22051,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22052,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22053,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22054,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22058,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22059,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22060,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22061,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22062,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22100,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22102,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22107,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22111,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22112,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22115,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22116,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22117,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22118,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
22123,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
