COURSE,E20_LEARNING,E20_MOTIVATION,E20_FEEDBACK,E20_WORKLOAD
01003,,,,
01005,"[6, 10, 36, 205, 538]","[18, 53, 145, 341, 235]","[7, 65, 123, 288, 311]","[8, 63, 245, 304, 174]"
01006,"[2, 2, 9, 30, 46]","[4, 8, 16, 34, 27]","[1, 8, 10, 29, 41]","[4, 7, 32, 28, 18]"
01015,"[1, 1, 2, 18, 32]","[2, 2, 12, 24, 14]","[1, 2, 11, 23, 17]","[0, 4, 17, 22, 11]"
01016,,,,
01017,"[3, 5, 37, 104, 121]","[4, 16, 74, 101, 75]","[3, 11, 43, 106, 105]","[12, 46, 152, 50, 10]"
01018,"[0, 0, 0, 11, 25]","[0, 1, 4, 10, 21]","[0, 0, 2, 11, 23]","[0, 3, 28, 5, 0]"
01019,"[0, 0, 2, 5, 8]","[0, 1, 2, 5, 7]","[1, 0, 1, 5, 8]","[1, 0, 11, 3, 0]"
01020,,,,
01025,"[0, 0, 0, 8, 27]","[0, 0, 4, 14, 17]","[0, 0, 0, 3, 32]","[0, 0, 15, 17, 3]"
01034,"[0, 0, 7, 18, 14]","[1, 4, 7, 20, 7]","[0, 4, 2, 17, 15]","[1, 4, 17, 13, 4]"
01035,"[4, 6, 18, 48, 43]","[12, 24, 33, 31, 18]","[3, 4, 28, 54, 29]","[2, 14, 56, 31, 15]"
01037,,,,
01125,"[0, 1, 0, 11, 19]","[1, 0, 6, 18, 6]","[0, 3, 1, 15, 12]","[0, 11, 11, 6, 3]"
01227,,,,
01237,"[1, 4, 5, 12, 4]","[3, 3, 6, 13, 1]","[2, 6, 6, 8, 4]","[1, 6, 17, 1, 1]"
01238,,,,
01257,"[0, 0, 0, 2, 0]","[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 1, 1, 0]"
01325,,,,
01405,,,,
01410,,,,
01415,"[0, 0, 0, 1, 6]","[0, 0, 0, 4, 3]","[0, 0, 0, 2, 5]","[0, 0, 4, 2, 1]"
01418,"[0, 2, 6, 14, 33]","[1, 4, 11, 15, 24]","[0, 0, 9, 14, 32]","[1, 2, 25, 22, 5]"
01426,"[0, 0, 0, 2, 2]","[0, 0, 1, 1, 2]","[0, 0, 1, 1, 2]","[1, 0, 3, 0, 0]"
01527,"[0, 0, 0, 0, 4]","[0, 0, 0, 0, 4]","[0, 0, 0, 1, 3]","[0, 1, 3, 0, 0]"
01604,,,,
01606,,,,
01617,"[0, 1, 5, 13, 13]","[0, 1, 3, 15, 13]","[0, 0, 5, 14, 13]","[1, 2, 20, 9, 0]"
01621,,,,
01622,,,,
01666,,,,
01715,"[1, 0, 0, 0, 8]","[0, 1, 0, 0, 8]","[0, 0, 0, 0, 9]","[0, 1, 6, 2, 0]"
01716,,,,
01901,"[7, 17, 63, 123, 213]","[13, 44, 104, 144, 118]","[12, 40, 102, 124, 146]","[9, 62, 179, 128, 46]"
01904,"[27, 22, 18, 10, 7]","[33, 28, 14, 5, 4]","[10, 11, 28, 21, 14]","[8, 17, 36, 15, 8]"
01920,"[2, 7, 19, 57, 37]","[13, 10, 30, 49, 20]","[10, 8, 22, 44, 38]","[3, 10, 54, 33, 21]"
02101,"[7, 15, 26, 54, 50]","[9, 27, 31, 54, 30]","[4, 24, 24, 61, 39]","[14, 27, 59, 40, 12]"
02102,,,,
02105,,,,
02110,"[0, 5, 8, 15, 29]","[2, 3, 12, 17, 23]","[1, 6, 5, 13, 32]","[0, 4, 31, 18, 4]"
02121,"[1, 6, 6, 14, 5]","[4, 4, 9, 9, 6]","[3, 9, 4, 11, 5]","[5, 14, 10, 3, 0]"
02122,,,,
02128,,,,
02132,"[0, 0, 0, 7, 29]","[0, 0, 1, 10, 24]","[1, 0, 4, 15, 16]","[0, 5, 26, 5, 0]"
02135,"[0, 1, 1, 2, 8]","[0, 0, 2, 4, 6]","[0, 0, 2, 3, 7]","[0, 1, 8, 1, 2]"
02138,"[0, 1, 5, 18, 26]","[3, 4, 14, 13, 16]","[3, 4, 4, 20, 19]","[0, 10, 22, 14, 3]"
02139,,,,
02141,,,,
02148,"[1, 1, 2, 4, 5]","[0, 1, 2, 5, 5]","[3, 1, 3, 1, 5]","[0, 3, 7, 1, 2]"
02155,"[0, 3, 4, 8, 8]","[3, 4, 5, 3, 8]","[1, 0, 4, 10, 8]","[0, 0, 16, 6, 1]"
02156,"[0, 2, 3, 8, 4]","[2, 3, 6, 4, 2]","[0, 0, 0, 11, 6]","[0, 2, 13, 2, 0]"
02157,"[4, 9, 13, 22, 15]","[9, 17, 16, 15, 5]","[22, 21, 12, 4, 4]","[3, 9, 22, 18, 11]"
02158,"[0, 1, 3, 7, 5]","[1, 0, 4, 9, 2]","[0, 1, 1, 5, 9]","[0, 0, 9, 6, 1]"
02159,"[1, 2, 5, 9, 7]","[2, 5, 2, 7, 8]","[3, 8, 6, 1, 6]","[0, 1, 4, 11, 8]"
02160,,,,
02161,,,,
