COURSE,F24_GRADE_12,F24_GRADE_10,F24_GRADE_7,F24_GRADE_4,F24_GRADE_02,F24_GRADE_00,F24_GRADE_MINUS_3,F24_PASSED,F24_FAILED,F24_ABSENT
01001,0.0,0.0,11.0,19.0,9.0,0.0,0.0,0.0,24.0,8.0
01002,82.0,220.0,265.0,204.0,41.0,0.0,0.0,0.0,198.0,101.0
01003,0.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,7.0,No data
01004,29.0,42.0,59.0,29.0,4.0,0.0,0.0,0.0,36.0,16
01005,0.0,9.0,18.0,34.0,4.0,0.0,0.0,0.0,34.0,16
01006,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1
01015,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,No data
01017,0.0,1.0,4.0,5.0,7.0,2.0,0.0,No data,No data,No data
01018,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01019,0,0,1,2,0,1,0,No data,No data,2
01020,No data,No data,No data,No data,No data,No data,No data,65,15,6
01025,0,1,1,1,0,2,0,No data,No data,No data
01034,0,0,4,4,6,1,0,No data,No data,2
01035,7,17,26,22,13,17,1,No data,No data,8
01037,19,34,41,40,28,57,3,No data,No data,9
01125,11,18,4,0,1,0,0,No data,No data,No data
01227,2,5,4,2,1,3,1,No data,No data,1
01237,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01238,7,6,4,0,3,1,0,No data,No data,No data
01257,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01325,3,13,11,9,8,5,0,No data,No data,1
01405,13,2,2,1,0,0,0,No data,No data,No data
01410,2,5,14,22,17,9,6,0,9,1
01415,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01418,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01426,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01527,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01617,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01621,2,1,3,1,0,2,0,No data,No data,No data
01622,5,4,5,0,0,0,0,No data,No data,1
01666,44,3,4,0,0,1,0,No data,No data,2
01715,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01716,No data,No data,No data,No data,No data,No data,No data,10,0,No data
01901,18,57,70,74,51,88,73,No data,No data,71
01904,1,1,0,2,4,1,0,No data,No data,2
01910,0,2,1,1,0,1,1,No data,No data,8
01915,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01920,48,91,129,119,98,132,73,No data,No data,86
02002,10,16,19,27,51,47,5,No data,No data,14
