COURSE,E24_LEARNING,E24_MOTIVATION,E24_FEEDBACK,E24_WORKLOAD
01001,"[1, 22, 55, 203, 408]","[16, 70, 163, 262, 170]","[14, 36, 123, 283, 221]","[8, 42, 218, 248, 160]"
01002,,,,
01003,"[0, 1, 4, 32, 88]","[2, 4, 8, 57, 54]","[0, 4, 18, 37, 66]","[1, 4, 46, 52, 22]"
01004,,,,
01017,"[0, 11, 18, 41, 32]","[6, 20, 33, 29, 13]","[1, 12, 21, 38, 28]","[1, 8, 43, 28, 20]"
01018,"[1, 0, 3, 5, 31]","[2, 1, 4, 6, 27]","[1, 0, 1, 6, 32]","[1, 3, 25, 10, 1]"
01019,"[2, 0, 10, 10, 6]","[1, 6, 5, 9, 5]","[0, 4, 6, 10, 6]","[0, 7, 8, 5, 6]"
01020,,,,
01025,"[0, 0, 2, 3, 30]","[0, 3, 3, 3, 26]","[0, 1, 1, 5, 28]","[0, 3, 16, 13, 3]"
01034,"[0, 3, 6, 16, 28]","[1, 5, 13, 13, 21]","[0, 2, 4, 15, 31]","[0, 5, 19, 19, 10]"
01035,"[2, 2, 10, 34, 33]","[1, 5, 20, 35, 18]","[1, 5, 13, 28, 32]","[1, 5, 31, 31, 12]"
01037,,,,
01125,,,,
01227,,,,
01237,"[3, 0, 13, 20, 16]","[4, 7, 15, 14, 8]","[3, 5, 4, 12, 24]","[1, 1, 23, 19, 4]"
01238,,,,
01257,"[0, 0, 0, 1, 3]","[0, 0, 1, 0, 3]","[0, 0, 0, 0, 4]","[0, 1, 0, 2, 1]"
01325,,,,
01405,,,,
01410,,,,
01415,"[0, 0, 0, 2, 6]","[0, 0, 0, 3, 5]","[0, 0, 0, 0, 8]","[0, 1, 4, 2, 1]"
01418,"[1, 1, 1, 14, 26]","[0, 7, 7, 14, 15]","[0, 6, 6, 12, 19]","[0, 3, 18, 18, 4]"
01426,"[0, 0, 0, 3, 6]","[0, 0, 1, 4, 4]","[0, 0, 2, 4, 3]","[1, 3, 3, 2, 0]"
01527,"[0, 0, 0, 0, 8]","[0, 0, 0, 0, 8]","[0, 0, 0, 1, 7]","[0, 1, 5, 1, 1]"
01617,"[1, 0, 2, 25, 21]","[3, 5, 12, 12, 17]","[2, 4, 7, 11, 23]","[1, 3, 26, 10, 9]"
01621,,,,
01622,,,,
01666,,,,
01715,"[0, 0, 0, 0, 9]","[0, 0, 0, 3, 6]","[0, 0, 0, 0, 9]","[0, 2, 2, 4, 1]"
01716,,,,
01904,"[4, 9, 19, 28, 15]","[8, 16, 21, 25, 4]","[4, 7, 14, 35, 14]","[1, 16, 29, 19, 8]"
01910,,,,
01911,"[6, 19, 25, 87, 100]","[22, 27, 36, 86, 63]","[12, 20, 38, 71, 94]","[12, 20, 70, 67, 65]"
01915,"[0, 0, 1, 1, 0]","[0, 0, 1, 1, 0]","[1, 0, 0, 1, 0]","[0, 1, 0, 1, 0]"
01920,"[5, 5, 11, 20, 16]","[5, 12, 15, 14, 10]","[4, 7, 16, 17, 11]","[4, 4, 20, 14, 13]"
01922,,,,
02002,"[20, 50, 97, 207, 274]","[56, 90, 130, 206, 155]","[25, 87, 136, 246, 140]","[49, 108, 282, 131, 62]"
02003,"[7, 18, 32, 37, 51]","[14, 25, 25, 24, 57]","[8, 15, 25, 36, 60]","[8, 14, 56, 32, 31]"
02100,"[4, 8, 16, 15, 18]","[3, 10, 8, 26, 13]","[2, 10, 12, 20, 16]","[6, 9, 34, 8, 5]"
02104,"[1, 0, 2, 11, 3]","[0, 1, 5, 4, 5]","[2, 4, 6, 3, 0]","[1, 1, 9, 4, 0]"
02105,,,,
02110,"[2, 0, 6, 19, 28]","[3, 1, 6, 21, 23]","[2, 2, 12, 14, 24]","[2, 10, 26, 10, 5]"
02112,"[0, 1, 1, 6, 4]","[0, 0, 2, 4, 6]","[0, 1, 2, 6, 3]","[2, 5, 2, 3, 0]"
02113,,,,
02114,"[0, 0, 0, 1, 2]","[0, 0, 0, 0, 3]","[0, 0, 0, 1, 2]","[0, 1, 0, 0, 2]"
02116,,,,
02118,,,,
02122,,,,
02123,,,,
02132,"[0, 0, 3, 9, 26]","[0, 1, 3, 9, 25]","[0, 2, 8, 8, 20]","[1, 1, 16, 14, 5]"
02135,,,,
02138,"[3, 10, 13, 18, 13]","[7, 19, 18, 8, 5]","[0, 14, 15, 21, 7]","[1, 5, 19, 14, 18]"
02139,,,,
02141,,,,
02143,,,,
02148,"[1, 0, 0, 7, 5]","[2, 1, 0, 5, 5]","[1, 2, 5, 2, 3]","[0, 4, 5, 4, 0]"
02155,"[1, 2, 2, 10, 10]","[3, 4, 4, 6, 8]","[4, 11, 7, 0, 3]","[2, 5, 14, 3, 1]"
02156,"[2, 2, 3, 7, 2]","[3, 2, 3, 3, 4]","[0, 2, 1, 9, 3]","[0, 0, 10, 4, 1]"
02157,"[10, 9, 9, 18, 11]","[17, 9, 13, 11, 6]","[21, 14, 11, 8, 2]","[3, 9, 19, 8, 15]"
02158,"[0, 0, 2, 2, 12]","[0, 2, 4, 8, 2]","[0, 1, 0, 5, 10]","[0, 1, 3, 9, 2]"
02159,"[0, 3, 7, 14, 8]","[0, 3, 9, 10, 8]","[5, 5, 8, 9, 4]","[0, 8, 13, 7, 3]"
02160,,,,
02161,,,,
02162,"[1, 3, 3, 5, 7]","[3, 6, 2, 3, 5]","[0, 1, 1, 6, 11]","[1, 1, 6, 6, 5]"
02170,,,,
02180,,,,
02182,,,,
02191,,,,
02192,,,,
02193,,,,
02195,,,,
02196,,,,
02201,,,,
02203,"[0, 0, 3, 10, 13]","[0, 0, 2, 8, 15]","[0, 0, 0, 6, 19]","[0, 2, 12, 8, 4]"
02205,,,,
02209,"[0, 0, 1, 4, 4]","[0, 0, 2, 5, 2]","[0, 0, 2, 4, 3]","[0, 0, 2, 6, 1]"
02211,,,,
02214,,,,
02225,,,,
02226,"[2, 8, 5, 8, 8]","[6, 5, 2, 10, 8]","[6, 4, 6, 7, 8]","[1, 0, 14, 13, 3]"
02232,"[1, 1, 3, 9, 11]","[1, 0, 8, 4, 10]","[2, 3, 4, 3, 11]","[0, 5, 8, 3, 7]"
02233,,,,
02234,"[0, 4, 8, 16, 15]","[4, 1, 12, 12, 14]","[2, 5, 11, 8, 17]","[2, 2, 15, 12, 11]"
02238,,,,
02239,"[4, 15, 16, 47, 30]","[8, 19, 18, 35, 31]","[27, 18, 21, 23, 21]","[4, 18, 42, 28, 19]"
02242,"[2, 3, 5, 11, 10]","[3, 1, 10, 12, 5]","[2, 3, 1, 13, 11]","[0, 1, 7, 16, 6]"
02244,,,,
02245,"[0, 1, 1, 4, 17]","[1, 2, 3, 5, 11]","[2, 2, 5, 6, 7]","[1, 0, 0, 4, 17]"
02246,"[0, 2, 2, 9, 20]","[2, 0, 3, 12, 15]","[0, 4, 6, 6, 16]","[0, 1, 17, 8, 6]"
02247,,,,
02249,"[0, 2, 3, 10, 18]","[2, 3, 5, 11, 12]","[0, 1, 7, 5, 20]","[2, 3, 10, 9, 9]"
02255,,,,
02256,,,,
02258,"[0, 2, 0, 2, 10]","[0, 3, 0, 4, 7]","[0, 4, 4, 1, 5]","[0, 1, 8, 2, 3]"
02263,"[4, 4, 12, 14, 13]","[5, 2, 11, 18, 11]","[1, 2, 5, 16, 23]","[1, 6, 25, 10, 5]"
02266,"[3, 8, 7, 10, 11]","[7, 3, 6, 8, 14]","[1, 2, 4, 10, 21]","[1, 1, 11, 15, 9]"
02267,"[0, 1, 4, 10, 9]","[1, 1, 5, 9, 7]","[1, 1, 4, 7, 10]","[0, 0, 6, 7, 10]"
02268,"[2, 4, 3, 2, 2]","[5, 1, 2, 3, 2]","[1, 3, 2, 5, 2]","[0, 1, 9, 3, 0]"
02269,"[0, 2, 3, 12, 26]","[0, 3, 5, 10, 25]","[1, 1, 2, 11, 28]","[1, 3, 14, 12, 13]"
02282,,,,
02285,,,,
02287,"[0, 0, 2, 6, 21]","[0, 2, 3, 8, 16]","[0, 1, 4, 6, 18]","[0, 3, 13, 7, 6]"
02289,"[2, 0, 2, 4, 6]","[3, 1, 2, 3, 5]","[3, 1, 2, 1, 7]","[0, 1, 5, 5, 3]"
02291,,,,
02311,"[0, 1, 2, 3, 3]","[0, 1, 3, 2, 3]","[1, 1, 5, 2, 0]","[0, 0, 3, 4, 2]"
02312,"[1, 6, 14, 16, 42]","[0, 3, 15, 18, 41]","[3, 10, 16, 19, 29]","[5, 8, 29, 19, 15]"
02321,"[0, 0, 0, 2, 0]","[0, 0, 0, 2, 0]","[0, 0, 1, 1, 0]","[0, 1, 0, 1, 0]"
02322,,,,
02323,"[4, 4, 8, 14, 12]","[6, 4, 12, 12, 7]","[1, 4, 9, 18, 9]","[2, 6, 16, 11, 6]"
02324,,,,
02325,,,,
02326,,,,
02327,"[2, 7, 16, 19, 25]","[6, 12, 18, 20, 13]","[13, 19, 14, 18, 5]","[5, 7, 34, 13, 9]"
02328,,,,
02329,,,,
02332,"[4, 4, 4, 10, 7]","[6, 5, 6, 9, 3]","[2, 3, 4, 12, 7]","[1, 6, 11, 7, 2]"
02335,"[2, 2, 7, 12, 4]","[7, 4, 4, 8, 4]","[3, 2, 7, 9, 6]","[0, 5, 12, 4, 6]"
02346,,,,
02369,"[5, 5, 5, 7, 2]","[6, 4, 8, 3, 3]","[1, 3, 5, 9, 6]","[1, 6, 8, 8, 1]"
02393,"[3, 4, 9, 21, 32]","[1, 1, 10, 24, 31]","[1, 5, 15, 16, 30]","[5, 12, 40, 7, 2]"
02402,"[7, 19, 45, 85, 47]","[22, 33, 51, 68, 26]","[8, 27, 44, 79, 42]","[11, 29, 93, 53, 11]"
02403,,,,
02405,"[1, 2, 8, 12, 12]","[3, 5, 12, 6, 8]","[5, 12, 10, 5, 2]","[0, 6, 11, 13, 4]"
02407,"[0, 2, 1, 2, 6]","[1, 3, 1, 2, 4]","[5, 1, 4, 0, 1]","[0, 0, 4, 6, 1]"
02409,"[2, 5, 4, 7, 6]","[7, 4, 6, 4, 1]","[10, 7, 3, 1, 1]","[1, 1, 11, 8, 1]"
