COURSE,F22_GRADE_12,F22_GRADE_10,F22_GRADE_7,F22_GRADE_4,F22_GRADE_02,F22_GRADE_00,F22_GRADE_MINUS_3,F22_PASSED,F22_FAILED,F22_ABSENT
01002,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01003,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01004,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01005,122,281,273,93,3,0,0,0,242,78
01006,18,27,37,11,0,0,0,0,53,10
01015,10,17,17,8,0,0,0,0,22,5
01016,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01017,0,2,2,2,1,0,0,No data,No data,No data
01018,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01019,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01020,No data,No data,No data,No data,No data,No data,No data,64,8,6
01025,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01034,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01035,18,22,34,19,24,22,6,No data,No data,17
01037,20,37,56,71,37,54,6,No data,No data,13
01125,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01227,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01237,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01238,11,8,5,2,1,2,0,No data,No data,3
01257,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01325,3,2,15,13,11,10,3,No data,No data,4
01405,5,2,4,2,0,0,0,No data,No data,1
01410,6,16,31,15,9,7,17,No data,No data,2
01415,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01418,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01426,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01527,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01604,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01606,No data,No data,No data,No data,No data,No data,No data,21,0,No data
01617,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01621,3,1,1,0,0,0,0,No data,No data,No data
01622,8,9,0,0,0,0,0,No data,No data,No data
01666,31,23,2,0,0,0,0,No data,No data,3
01715,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01716,No data,No data,No data,No data,No data,No data,No data,9,0,No data
01901,22,35,44,55,27,147,50,No data,No data,109
01904,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01920,24,68,103,119,70,253,62,0,0,107
02101,0,1,2,1,3,4,0,No data,No data,1
02102,31,25,16,5,6,12,0,No data,No data,7
02105,48,57,124,67,47,66,11,No data,No data,67
02110,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02121,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02122,58,27,2,0,0,0,0,No data,No data,1
02128,No data,No data,No data,No data,No data,No data,No data,52,1,No data
02132,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02135,11,19,10,9,3,9,0,No data,No data,7
02138,0,0,1,1,2,4,4,No data,No data,1
02139,16,20,11,4,2,2,0,No data,No data,4
02141,7,20,33,31,24,17,5,No data,No data,21
02148,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02155,0,0,2,2,0,0,0,No data,No data,No data
02156,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02157,0,3,5,4,8,9,2,No data,No data,2
02158,5,1,2,1,1,4,0,No data,No data,No data
02159,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02160,7,33,9,3,0,1,0,No data,No data,6
02161,42,17,41,14,3,0,0,No data,No data,24
02162,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02170,68,69,55,16,3,6,0,No data,No data,11
02180,27,56,65,59,8,16,2,No data,No data,20
02182,8,16,16,9,0,0,0,No data,No data,4
02191,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02192,18,23,12,0,0,0,0,No data,No data,No data
02193,41,55,22,2,0,0,0,No data,No data,3
02203,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02204,2,1,1,3,0,0,0,No data,No data,2
02205,1,0,1,1,1,0,0,No data,No data,3
02209,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02211,3,1,1,3,0,7,0,No data,No data,No data
02217,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02221,42,102,87,5,1,0,0,No data,No data,13
02223,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02224,1,2,4,2,4,2,3,No data,No data,2
