COURSE,E24_GRADE_12,E24_GRADE_10,E24_GRADE_7,E24_GRADE_4,E24_GRADE_02,E24_GRADE_00,E24_GRADE_MINUS_3,E24_PASSED,E24_FAILED,E24_ABSENT
01001,143.0,170.0,336.0,150.0,92.0,142.0,0.0,No data,No data,70.0
01002,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01003,27,36,57,18,16,20,0,No data,No data,9
01004,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01017,9,15,58,44,26,41,10,No data,No data,No data
01018,25,14,8,4,4,0,1,No data,No data,2
01019,1,11,36,14,12,11,7,No data,No data,No data
01020,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01025,10,8,16,7,5,8,3,No data,No data,2
01034,27,44,52,29,18,26,2,No data,No data,9
01035,13,46,61,47,19,34,8,No data,No data,14
01037,0,1,3,9,7,5,0,No data,No data,2
01125,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01227,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01237,21,48,25,7,1,1,2,No data,No data,No data
01238,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01257,6,14,4,0,0,0,0,No data,No data,1
01325,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01405,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01410,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01415,6,4,1,1,0,1,0,No data,No data,No data
01418,25,23,20,4,8,4,0,No data,No data,No data
01426,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01527,No data,No data,No data,No data,No data,No data,No data,15,0,1
01617,20,44,56,15,5,4,2,No data,No data,4
01621,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01622,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01666,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01715,4,2,4,3,0,2,0,No data,No data,1
01716,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01904,13,19,34,17,24,20,11,No data,No data,12
01910,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01911,No data,No data,No data,No data,No data,No data,No data,567,102,54
01915,0,1,0,1,2,0,1,No data,No data,2
01920,29,64,78,58,24,39,33,No data,No data,38
01922,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02002,260,170,134,147,146,144,35,No data,No data,76
02003,54,32,32,32,26,41,9,No data,No data,23
02100,26,20,12,9,3,26,6,No data,No data,8
02104,15,35,15,6,6,0,0,No data,No data,3
02105,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02110,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02112,52,6,1,0,0,0,0,No data,No data,3
02113,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02114,11,10,1,0,0,0,0,No data,No data,3
02116,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02118,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02122,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02123,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02132,28,35,23,4,0,5,0,No data,No data,No data
02135,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02138,5,17,15,11,9,23,16,No data,No data,15
02139,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02141,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02143,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02148,42,20,21,1,0,0,0,No data,No data,No data
02155,30,26,14,17,7,15,0,No data,No data,2
02156,19,14,10,5,3,1,2,No data,No data,4
02157,22,24,30,26,25,35,29,No data,No data,30
02158,5,6,18,8,23,7,0,No data,No data,2
02159,33,23,33,12,4,0,1,No data,No data,4
02160,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02161,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02162,0,18,34,3,0,0,0,No data,No data,3
02170,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02180,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02182,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02191,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02192,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02193,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
