COURSE,F21_LEARNING,F21_MOTIVATION,F21_FEEDBACK,F21_WORKLOAD
01003,,,,
01005,"[3, 10, 27, 142, 270]","[21, 31, 108, 184, 102]","[15, 34, 61, 160, 175]","[3, 41, 125, 176, 99]"
01006,"[0, 0, 3, 15, 21]","[0, 4, 10, 15, 10]","[1, 3, 3, 19, 12]","[1, 2, 13, 17, 6]"
01015,"[0, 2, 0, 20, 17]","[2, 5, 11, 18, 3]","[3, 5, 11, 10, 10]","[0, 1, 14, 16, 8]"
01016,,,,
01017,,,,
01018,,,,
01019,,,,
01020,"[0, 2, 6, 15, 11]","[2, 4, 9, 11, 8]","[0, 4, 6, 10, 14]","[0, 2, 13, 14, 5]"
01025,,,,
01034,,,,
01035,"[0, 1, 2, 11, 19]","[1, 1, 9, 7, 13]","[0, 1, 6, 5, 19]","[2, 4, 10, 10, 5]"
01037,"[0, 1, 9, 32, 52]","[0, 5, 16, 41, 32]","[1, 4, 13, 33, 43]","[3, 18, 42, 19, 13]"
01125,,,,
01227,"[0, 0, 4, 8, 7]","[0, 3, 2, 8, 6]","[0, 0, 0, 5, 14]","[0, 4, 13, 2, 0]"
01237,,,,
01238,"[1, 0, 0, 4, 5]","[1, 0, 0, 3, 6]","[0, 0, 1, 0, 9]","[1, 0, 7, 2, 0]"
01257,,,,
01325,"[0, 0, 1, 6, 8]","[1, 1, 2, 4, 7]","[0, 3, 0, 5, 7]","[1, 1, 9, 4, 0]"
01405,"[0, 0, 1, 1, 1]","[0, 1, 0, 1, 1]","[0, 0, 1, 0, 2]","[0, 0, 1, 2, 0]"
01410,"[1, 2, 4, 7, 9]","[3, 1, 3, 11, 5]","[0, 0, 2, 6, 15]","[0, 6, 8, 7, 2]"
01415,,,,
01418,,,,
01426,,,,
01527,,,,
01604,,,,
01606,"[0, 0, 2, 0, 0]","[0, 0, 0, 1, 1]","[0, 2, 0, 0, 0]","[0, 1, 1, 0, 0]"
01617,,,,
01621,"[0, 0, 0, 3, 2]","[0, 0, 2, 1, 2]","[0, 0, 0, 2, 3]","[0, 0, 3, 2, 0]"
01622,"[0, 2, 2, 1, 1]","[1, 1, 1, 2, 1]","[0, 0, 3, 2, 1]","[1, 1, 3, 1, 0]"
01666,"[0, 0, 2, 3, 12]","[0, 1, 3, 4, 8]","[1, 0, 1, 3, 11]","[0, 0, 8, 8, 0]"
01715,,,,
01716,"[0, 0, 0, 1, 4]","[0, 0, 0, 0, 5]","[0, 0, 0, 1, 4]","[0, 1, 4, 0, 0]"
01901,"[6, 7, 17, 27, 52]","[8, 17, 18, 36, 29]","[10, 9, 20, 31, 37]","[2, 9, 49, 36, 11]"
01904,,,,
01920,"[4, 12, 22, 49, 65]","[9, 23, 34, 44, 38]","[2, 14, 25, 47, 61]","[5, 15, 63, 49, 17]"
02101,,,,
02102,"[0, 2, 5, 11, 20]","[0, 1, 10, 13, 14]","[0, 1, 6, 13, 17]","[1, 8, 20, 5, 3]"
02105,"[1, 8, 26, 39, 52]","[11, 15, 27, 38, 33]","[25, 31, 33, 22, 13]","[2, 28, 66, 18, 11]"
02110,,,,
02121,,,,
02122,"[0, 1, 2, 6, 1]","[2, 0, 0, 7, 1]","[1, 1, 0, 3, 5]","[0, 2, 8, 0, 0]"
02128,"[1, 1, 3, 3, 2]","[1, 3, 5, 1, 0]","[1, 1, 1, 4, 3]","[0, 3, 4, 1, 2]"
02132,,,,
02135,,,,
02138,,,,
02139,"[0, 1, 6, 9, 9]","[0, 2, 3, 11, 9]","[0, 6, 6, 7, 6]","[3, 7, 13, 2, 0]"
02141,"[2, 3, 8, 13, 6]","[6, 11, 9, 3, 3]","[3, 11, 7, 7, 4]","[1, 3, 11, 12, 6]"
02148,,,,
02155,,,,
02156,,,,
02157,,,,
02158,,,,
02159,,,,
02160,"[0, 0, 1, 3, 7]","[0, 0, 2, 3, 6]","[0, 0, 1, 0, 10]","[0, 0, 5, 4, 2]"
02161,"[6, 4, 11, 11, 6]","[8, 12, 7, 8, 2]","[10, 6, 11, 9, 1]","[5, 6, 21, 3, 2]"
02162,,,,
02170,"[0, 5, 2, 23, 24]","[0, 4, 11, 16, 23]","[6, 9, 14, 12, 13]","[8, 8, 26, 9, 3]"
02180,"[0, 1, 1, 24, 20]","[0, 6, 9, 16, 15]","[1, 3, 12, 17, 13]","[0, 5, 17, 19, 3]"
02182,"[0, 3, 2, 4, 0]","[0, 2, 3, 4, 0]","[1, 0, 1, 6, 1]","[0, 3, 3, 3, 0]"
02191,,,,
02192,"[2, 1, 2, 3, 4]","[2, 2, 1, 3, 4]","[1, 5, 1, 3, 2]","[0, 2, 4, 6, 0]"
02193,"[0, 1, 4, 5, 7]","[0, 2, 3, 6, 6]","[4, 1, 4, 4, 4]","[1, 5, 7, 2, 2]"
02203,,,,
02204,,,,
02205,"[4, 0, 2, 2, 1]","[3, 2, 2, 2, 0]","[2, 2, 1, 3, 1]","[1, 0, 2, 2, 4]"
02209,,,,
02211,"[0, 0, 2, 1, 3]","[1, 0, 1, 3, 1]","[0, 1, 2, 2, 1]","[0, 0, 2, 1, 3]"
02217,,,,
02221,"[6, 7, 19, 32, 22]","[18, 9, 24, 22, 13]","[20, 17, 26, 14, 9]","[8, 18, 45, 11, 4]"
02223,,,,
02224,"[0, 0, 2, 2, 3]","[0, 0, 2, 2, 3]","[0, 0, 1, 0, 6]","[0, 0, 6, 1, 0]"
02229,,,,
02232,,,,
02233,"[0, 1, 4, 11, 20]","[1, 1, 3, 11, 20]","[2, 5, 8, 10, 11]","[0, 6, 17, 8, 4]"
02234,,,,
02238,"[1, 2, 3, 4, 5]","[2, 2, 2, 6, 2]","[1, 2, 4, 3, 4]","[0, 0, 4, 8, 2]"
02239,,,,
02242,,,,
02244,"[1, 0, 4, 1, 7]","[1, 0, 4, 2, 6]","[1, 2, 1, 3, 6]","[0, 0, 8, 3, 2]"
02246,,,,
02247,"[0, 2, 7, 5, 6]","[0, 3, 3, 8, 6]","[1, 3, 7, 7, 2]","[0, 3, 6, 8, 3]"
02249,,,,
02255,"[0, 0, 3, 0, 7]","[0, 1, 1, 1, 7]","[0, 0, 0, 4, 6]","[0, 2, 6, 1, 1]"
02256,"[0, 1, 3, 1, 4]","[0, 1, 1, 5, 2]","[0, 0, 1, 1, 7]","[0, 0, 4, 4, 1]"
02257,"[2, 2, 1, 4, 4]","[2, 1, 1, 6, 3]","[6, 3, 3, 0, 1]","[0, 2, 7, 4, 0]"
02258,,,,
02261,,,,
02263,,,,
02266,,,,
02267,,,,
02268,"[1, 2, 2, 3, 6]","[2, 1, 4, 2, 5]","[0, 0, 1, 2, 10]","[0, 1, 3, 5, 4]"
02269,,,,
02282,"[0, 0, 1, 9, 19]","[0, 0, 4, 9, 16]","[1, 0, 1, 4, 22]","[0, 1, 10, 11, 7]"
02285,"[0, 2, 4, 16, 21]","[1, 0, 5, 10, 25]","[1, 1, 3, 11, 25]","[1, 1, 6, 15, 18]"
02287,,,,
02289,,,,
02291,"[3, 2, 13, 15, 12]","[4, 10, 8, 13, 10]","[3, 7, 11, 10, 13]","[0, 2, 22, 14, 6]"
02312,,,,
02314,,,,
02315,,,,
02318,"[6, 8, 0, 4, 0]","[10, 5, 1, 0, 0]","[4, 8, 3, 1, 0]","[0, 4, 5, 3, 4]"
02320,"[0, 0, 0, 4, 3]","[0, 0, 2, 5, 0]","[0, 0, 4, 3, 0]","[0, 0, 2, 3, 1]"
02321,,,,
02322,"[1, 3, 5, 5, 6]","[3, 2, 9, 3, 2]","[3, 0, 8, 6, 2]","[2, 1, 8, 6, 2]"
02323,"[1, 0, 9, 15, 6]","[1, 4, 11, 8, 7]","[0, 0, 10, 16, 5]","[0, 1, 20, 7, 2]"
02324,"[5, 5, 4, 3, 10]","[8, 3, 4, 5, 6]","[1, 2, 10, 7, 6]","[1, 4, 9, 6, 6]"
02326,"[2, 1, 7, 10, 5]","[4, 4, 10, 5, 2]","[3, 4, 6, 8, 4]","[0, 4, 7, 6, 8]"
02327,"[0, 1, 6, 8, 7]","[0, 3, 8, 3, 7]","[2, 8, 4, 4, 2]","[0, 2, 13, 3, 2]"
02332,,,,
02346,"[5, 4, 0, 5, 1]","[8, 2, 3, 1, 0]","[7, 4, 1, 2, 0]","[0, 0, 5, 4, 5]"
02362,"[1, 1, 0, 0, 2]","[0, 2, 0, 0, 2]","[0, 1, 0, 1, 2]","[0, 0, 0, 1, 3]"
02363,"[0, 0, 1, 0, 0]","[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]"
02369,,,,
02393,,,,
02402,"[1, 4, 12, 29, 17]","[3, 8, 19, 21, 12]","[2, 2, 17, 23, 19]","[2, 8, 40, 10, 2]"
02403,"[0, 7, 6, 25, 14]","[3, 9, 17, 16, 7]","[3, 7, 23, 11, 7]","[2, 10, 15, 17, 7]"
02405,,,,
02407,,,,
02409,,,,
02411,"[0, 6, 7, 13, 12]","[1, 6, 11, 9, 11]","[11, 7, 10, 4, 6]","[1, 7, 14, 12, 2]"
02413,,,,
02417,,,,
02418,,,,
02421,"[5, 3, 5, 5, 3]","[7, 5, 5, 3, 1]","[6, 3, 6, 2, 4]","[1, 0, 7, 5, 8]"
02424,"[0, 0, 2, 4, 4]","[1, 3, 0, 3, 3]","[0, 0, 1, 5, 4]","[0, 0, 6, 3, 2]"
02425,,,,
02427,,,,
02429,,,,
02431,"[2, 2, 1, 12, 8]","[2, 1, 3, 9, 10]","[3, 3, 6, 4, 9]","[0, 3, 19, 2, 1]"
02435,"[0, 0, 1, 5, 13]","[0, 1, 4, 5, 9]","[0, 0, 2, 5, 12]","[0, 3, 6, 6, 4]"
02441,,,,
02443,"[1, 5, 8, 27, 17]","[7, 10, 7, 19, 15]","[5, 9, 11, 21, 11]","[0, 3, 18, 15, 20]"
02445,,,,
02450,"[5, 14, 17, 49, 45]","[15, 26, 27, 39, 23]","[9, 17, 43, 43, 19]","[2, 10, 44, 39, 35]"
02455,,,,
02456,,,,
02458,,,,
02460,"[1, 0, 2, 7, 9]","[1, 2, 4, 4, 8]","[1, 2, 4, 4, 8]","[0, 1, 5, 5, 8]"
02461,,,,
02462,"[0, 4, 4, 11, 14]","[3, 4, 5, 12, 8]","[1, 8, 5, 8, 10]","[0, 3, 12, 14, 3]"
02463,"[0, 0, 0, 0, 18]","[0, 0, 1, 5, 12]","[0, 0, 2, 3, 13]","[0, 1, 13, 3, 1]"
02464,"[4, 8, 4, 12, 9]","[12, 5, 6, 9, 5]","[3, 12, 10, 10, 2]","[4, 16, 10, 5, 2]"
02465,"[3, 4, 2, 3, 4]","[9, 0, 3, 2, 2]","[2, 5, 6, 2, 1]","[0, 0, 0, 5, 11]"
02466,"[0, 0, 0, 1, 7]","[0, 1, 1, 0, 5]","[0, 0, 0, 1, 6]","[0, 0, 0, 4, 3]"
02467,"[1, 1, 1, 4, 4]","[0, 2, 0, 4, 5]","[1, 0, 0, 4, 6]","[0, 3, 5, 1, 2]"
