COURSE,F25_LEARNING,F25_MOTIVATION,F25_FEEDBACK,F25_WORKLOAD
01001,,,,
01002,"[4, 14, 45, 151, 172]","[13, 41, 88, 151, 87]","[8, 38, 86, 158, 89]","[4, 42, 148, 135, 49]"
01003,,,,
01004,"[0, 0, 6, 23, 55]","[2, 0, 14, 32, 35]","[3, 3, 15, 26, 36]","[1, 5, 27, 32, 16]"
01017,,,,
01018,,,,
01019,,,,
01020,"[1, 2, 7, 9, 3]","[5, 6, 4, 6, 0]","[0, 0, 6, 7, 8]","[0, 1, 10, 5, 5]"
01025,,,,
01034,,,,
01035,"[4, 8, 5, 13, 6]","[14, 6, 6, 8, 1]","[1, 0, 8, 17, 9]","[0, 0, 15, 14, 6]"
01037,,,,
01125,"[0, 0, 1, 4, 12]","[0, 0, 4, 1, 12]","[1, 1, 2, 5, 8]","[0, 3, 11, 3, 0]"
01227,"[1, 0, 2, 8, 5]","[1, 0, 4, 4, 6]","[1, 0, 3, 4, 7]","[0, 3, 9, 0, 3]"
01237,,,,
01238,"[0, 1, 1, 2, 4]","[0, 1, 1, 1, 5]","[0, 0, 0, 1, 7]","[0, 0, 6, 2, 0]"
01257,,,,
01325,"[0, 0, 0, 3, 29]","[0, 1, 0, 3, 28]","[1, 0, 0, 0, 31]","[1, 2, 16, 11, 2]"
01405,"[0, 0, 0, 1, 2]","[0, 0, 0, 2, 1]","[0, 0, 1, 0, 2]","[0, 1, 1, 0, 0]"
01410,"[0, 0, 5, 6, 4]","[0, 2, 8, 4, 1]","[0, 3, 2, 8, 2]","[1, 0, 10, 4, 0]"
01415,,,,
01418,,,,
01426,,,,
01527,,,,
01617,,,,
01621,,,,
01622,"[0, 0, 1, 2, 2]","[0, 1, 2, 0, 2]","[0, 1, 1, 1, 2]","[0, 0, 2, 2, 1]"
01666,,,,
01715,,,,
01716,,,,
01904,,,,
01910,,,,
01911,,,,
01915,,,,
01920,,,,
01922,"[4, 10, 37, 91, 127]","[15, 25, 64, 89, 73]","[3, 22, 51, 63, 124]","[10, 31, 105, 75, 41]"
02002,,,,
02003,,,,
02100,,,,
02104,,,,
02105,"[1, 4, 17, 38, 51]","[7, 16, 16, 36, 35]","[1, 9, 19, 41, 40]","[6, 15, 62, 18, 9]"
02110,,,,
02112,,,,
02113,,,,
02114,,,,
02116,,,,
02118,"[1, 0, 1, 2, 2]","[0, 0, 2, 2, 2]","[1, 1, 3, 0, 1]","[0, 0, 1, 4, 1]"
02122,,,,
02123,,,,
02132,,,,
02135,"[3, 6, 5, 11, 4]","[5, 3, 9, 6, 6]","[1, 1, 9, 7, 11]","[1, 0, 12, 13, 2]"
02138,,,,
02139,"[0, 1, 6, 11, 13]","[0, 0, 10, 5, 14]","[0, 3, 5, 14, 7]","[1, 6, 17, 3, 1]"
02141,"[2, 2, 2, 13, 9]","[1, 6, 6, 8, 6]","[2, 3, 5, 9, 7]","[1, 1, 13, 6, 6]"
02143,"[0, 0, 1, 0, 2]","[0, 0, 1, 1, 1]","[0, 0, 1, 1, 1]","[0, 0, 1, 1, 1]"
02148,,,,
02155,,,,
02156,,,,
02157,,,,
02158,,,,
02159,,,,
02160,"[0, 0, 3, 5, 9]","[0, 1, 2, 5, 9]","[0, 1, 4, 4, 8]","[1, 3, 8, 2, 3]"
02161,"[2, 10, 8, 6, 3]","[12, 6, 7, 1, 2]","[5, 8, 7, 4, 4]","[1, 3, 15, 8, 1]"
02162,,,,
02170,"[0, 2, 9, 23, 17]","[1, 2, 10, 23, 13]","[0, 3, 14, 24, 8]","[2, 10, 32, 3, 2]"
02180,"[2, 3, 9, 40, 29]","[2, 4, 15, 34, 24]","[1, 3, 22, 36, 17]","[0, 1, 44, 23, 11]"
02182,"[0, 0, 1, 5, 5]","[0, 1, 2, 3, 5]","[0, 0, 2, 2, 7]","[0, 1, 3, 6, 1]"
02191,,,,
02192,"[1, 2, 4, 7, 11]","[2, 2, 1, 8, 11]","[0, 3, 5, 4, 12]","[1, 2, 10, 6, 5]"
02193,,,,
02195,"[9, 6, 4, 3, 3]","[8, 7, 2, 3, 4]","[12, 3, 6, 0, 3]","[2, 7, 7, 3, 3]"
02196,"[1, 3, 4, 1, 2]","[1, 5, 3, 1, 1]","[3, 2, 5, 0, 1]","[0, 1, 4, 2, 4]"
02201,,,,
02203,,,,
02205,"[0, 0, 1, 2, 4]","[0, 2, 1, 2, 2]","[0, 1, 3, 2, 1]","[0, 2, 1, 2, 2]"
02209,,,,
02211,"[0, 2, 0, 5, 6]","[1, 1, 1, 4, 6]","[2, 0, 1, 4, 6]","[0, 0, 5, 6, 2]"
02214,,,,
02225,"[0, 2, 10, 28, 18]","[2, 3, 13, 23, 16]","[1, 2, 19, 24, 11]","[0, 5, 22, 19, 11]"
02226,,,,
02232,,,,
02233,"[0, 5, 8, 22, 30]","[1, 6, 13, 20, 24]","[7, 7, 17, 20, 13]","[1, 8, 28, 20, 7]"
02234,,,,
02238,,,,
02239,,,,
02242,,,,
02244,"[2, 4, 8, 14, 9]","[5, 2, 10, 15, 5]","[2, 9, 8, 10, 8]","[1, 3, 17, 8, 8]"
02245,,,,
02246,,,,
02247,"[0, 0, 2, 4, 16]","[0, 1, 2, 8, 11]","[1, 0, 5, 7, 9]","[0, 2, 14, 3, 3]"
02249,,,,
02255,"[0, 1, 3, 2, 6]","[0, 1, 4, 4, 3]","[0, 0, 6, 4, 2]","[1, 1, 3, 5, 2]"
02256,"[0, 2, 1, 5, 1]","[0, 2, 3, 4, 0]","[0, 0, 1, 4, 4]","[0, 0, 7, 2, 0]"
02258,,,,
02263,,,,
02266,,,,
02267,,,,
02268,,,,
02269,,,,
