COURSE,F26_GRADE_12,F26_GRADE_10,F26_GRADE_7,F26_GRADE_4,F26_GRADE_02,F26_GRADE_00,F26_GRADE_MINUS_3,F26_PASSED,F26_FAILED,F26_ABSENT
01001,1.0,6.0,18.0,36.0,18.0,18.0,0.0,No data,No data,8.0
01002,109.0,148.0,239.0,209.0,168.0,236.0,0.0,No data,No data,74.0
01003,2.0,1.0,3.0,3.0,2.0,0.0,0.0,No data,No data,3.0
01004,41.0,32.0,23.0,21.0,9.0,39.0,0.0,0,0,12.0
01017,1.0,2.0,6.0,10.0,9.0,2.0,0.0,No data,No data,1.0
01018,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01020,No data,No data,No data,No data,No data,No data,No data,79,7,6
01025,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01034,0,1,4,8,3,7,0,No data,No data,1
01035,0,2,9,7,4,20,1,No data,No data,1
01037,59,75,69,59,25,90,12,No data,No data,20
01125,7,5,9,2,0,0,0,No data,No data,No data
01227,13,9,21,4,1,4,1,No data,No data,3
01237,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01238,16,7,0,0,0,1,2,2,0,No data
01257,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01325,3,11,18,12,13,7,5,No data,No data,1
01405,8,5,6,2,2,1,0,No data,No data,2
01415,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01418,0,1,2,1,0,0,0,No data,No data,No data
01425,3,2,2,2,1,0,0,No data,No data,1
01426,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01527,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01617,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01621,7,1,1,0,0,1,0,No data,No data,1
01622,5,13,2,0,0,0,0,No data,No data,No data
01666,36,11,3,0,0,0,0,No data,No data,2
01715,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01716,No data,No data,No data,No data,No data,No data,No data,9,0,No data
01811,No data,No data,No data,No data,No data,No data,No data,8,0,4
01822,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01904,0,3,1,1,2,3,0,No data,No data,1
01911,No data,No data,No data,No data,No data,No data,No data,54,32,9
01915,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
01922,45,148,210,106,41,89,13,No data,No data,95
02002,8,14,16,29,24,24,9,No data,No data,5
02003,3,3,5,7,3,6,3,No data,No data,1
02100,1,3,2,4,2,6,0,No data,No data,1
02104,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
02105,62,93,124,33,14,61,0,No data,No data,38
02110,1,4,6,4,2,2,0,No data,No data,1
