COURSE,E25_LEARNING,E25_MOTIVATION,E25_FEEDBACK,E25_WORKLOAD
01621,,,,
01622,,,,
01666,,,,
01715,"[0, 0, 1, 2, 4]","[0, 0, 0, 2, 4]","[0, 0, 1, 0, 6]","[1, 0, 2, 4, 0]"
01716,,,,
01811,,,,
01822,,,,
01904,"[2, 3, 19, 28, 24]","[7, 7, 22, 33, 6]","[9, 17, 26, 14, 9]","[3, 7, 28, 26, 11]"
01911,"[2, 3, 21, 64, 102]","[6, 19, 40, 63, 62]","[10, 18, 31, 51, 79]","[5, 15, 67, 50, 52]"
01915,"[0, 0, 1, 1, 4]","[0, 0, 1, 1, 4]","[0, 0, 2, 1, 3]","[0, 1, 4, 0, 1]"
01922,,,,
02002,"[20, 42, 107, 210, 251]","[55, 84, 133, 211, 142]","[11, 36, 118, 216, 241]","[50, 122, 244, 147, 59]"
02003,"[3, 7, 16, 35, 39]","[8, 14, 16, 27, 34]","[4, 7, 13, 32, 43]","[5, 16, 36, 22, 21]"
02100,"[6, 8, 11, 21, 18]","[7, 12, 14, 17, 14]","[0, 4, 13, 28, 19]","[5, 14, 23, 13, 9]"
02104,"[0, 2, 4, 8, 6]","[0, 0, 4, 7, 8]","[2, 1, 8, 3, 5]","[1, 3, 9, 4, 2]"
02105,,,,
02110,"[0, 1, 2, 19, 25]","[1, 4, 9, 19, 12]","[0, 5, 11, 13, 15]","[2, 5, 14, 17, 5]"
02112,"[0, 0, 2, 3, 8]","[0, 0, 0, 6, 7]","[1, 0, 1, 8, 3]","[0, 3, 7, 3, 0]"
02113,,,,
02114,"[2, 0, 0, 1, 1]","[2, 0, 0, 1, 1]","[2, 0, 0, 1, 1]","[0, 0, 2, 1, 1]"
02116,"[0, 2, 3, 3, 3]","[0, 3, 3, 2, 3]","[1, 2, 5, 2, 1]","[1, 2, 6, 2, 0]"
02118,,,,
02122,,,,
02123,,,,
02132,"[2, 0, 0, 8, 28]","[2, 0, 2, 8, 26]","[1, 0, 4, 9, 24]","[0, 2, 20, 13, 3]"
02135,,,,
02138,"[0, 9, 4, 12, 30]","[7, 7, 12, 19, 10]","[3, 4, 8, 19, 21]","[0, 4, 18, 18, 15]"
02139,,,,
02141,,,,
02143,,,,
02148,"[0, 1, 1, 3, 3]","[0, 0, 2, 2, 4]","[1, 1, 1, 2, 2]","[0, 1, 5, 2, 0]"
02155,"[1, 1, 7, 15, 9]","[2, 2, 9, 11, 9]","[1, 1, 9, 19, 3]","[0, 4, 22, 6, 1]"
02156,"[0, 2, 0, 4, 7]","[1, 1, 3, 7, 1]","[0, 0, 2, 6, 5]","[3, 3, 3, 3, 1]"
02157,"[3, 6, 10, 16, 10]","[9, 9, 10, 10, 6]","[15, 12, 9, 7, 0]","[1, 8, 20, 11, 3]"
02159,"[2, 4, 6, 11, 6]","[3, 2, 6, 9, 9]","[2, 8, 6, 8, 5]","[1, 2, 19, 3, 4]"
02160,,,,
02161,,,,
02162,"[0, 2, 7, 9, 11]","[1, 3, 6, 5, 13]","[0, 1, 4, 6, 17]","[0, 1, 11, 8, 8]"
02170,,,,
02180,,,,
02182,,,,
02195,,,,
02196,,,,
02201,"[0, 1, 5, 2, 4]","[1, 0, 4, 4, 3]","[0, 1, 3, 5, 3]","[0, 2, 8, 1, 1]"
02203,"[0, 0, 3, 9, 21]","[0, 1, 2, 14, 16]","[0, 0, 5, 12, 16]","[0, 4, 17, 7, 5]"
02205,,,,
02207,"[0, 1, 3, 3, 5]","[0, 3, 2, 4, 3]","[0, 0, 5, 5, 2]","[0, 3, 6, 2, 1]"
02209,"[0, 0, 1, 1, 3]","[0, 1, 1, 2, 1]","[0, 1, 0, 0, 3]","[0, 0, 0, 3, 1]"
02211,,,,
02214,,,,
