COURSE,F18_LEARNING,E18_LEARNING,F19_LEARNING,E19_LEARNING,F20_LEARNING,E20_LEARNING,F21_LEARNING,E21_LEARNING,F22_LEARNING,E22_LEARNING,F23_LEARNING,E23_LEARNING,F24_LEARNING,F18_MOTIVATION,E18_MOTIVATION,F19_MOTIVATION,E19_MOTIVATION,F20_MOTIVATION,E20_MOTIVATION,F21_MOTIVATION,E21_MOTIVATION,F22_MOTIVATION,E22_MOTIVATION,F23_MOTIVATION,E23_MOTIVATION,F24_MOTIVATION,F18_FEEDBACK,E18_FEEDBACK,F19_FEEDBACK,E19_FEEDBACK,F20_FEEDBACK,E20_FEEDBACK,F21_FEEDBACK,E21_FEEDBACK,F22_FEEDBACK,E22_FEEDBACK,F23_FEEDBACK,E23_FEEDBACK,F24_FEEDBACK,F18_WORKLOAD,E18_WORKLOAD,F19_WORKLOAD,E19_WORKLOAD,F20_WORKLOAD,E20_WORKLOAD,F21_WORKLOAD,E21_WORKLOAD,F22_WORKLOAD,E22_WORKLOAD,F23_WORKLOAD,E23_WORKLOAD,F24_WORKLOAD
01325,,,,,"[1, 0, 0, 6, 6]",,"[0, 0, 1, 6, 8]",,"[2, 0, 6, 5, 6]",,"[0, 0, 0, 3, 4]",,"[0, 0, 2, 2, 22]",,,,,"[1, 1, 1, 5, 5]",,"[1, 1, 2, 4, 7]",,"[3, 3, 6, 5, 2]",,"[0, 0, 3, 3, 1]",,"[0, 1, 1, 2, 22]",,,,,"[1, 0, 1, 3, 8]",,"[0, 3, 0, 5, 7]",,"[1, 6, 2, 5, 5]",,"[0, 0, 0, 3, 4]",,"[1, 0, 1, 0, 24]",,,,,"[0, 1, 11, 1, 0]",,"[1, 1, 9, 4, 0]",,"[1, 3, 10, 5, 0]",,"[0, 1, 5, 0, 1]",,"[0, 2, 11, 12, 1]"
01405,,,,,"[0, 0, 0, 0, 4]",,"[0, 0, 1, 1, 1]",,"[0, 0, 1, 2, 4]",,"[0, 0, 0, 0, 8]",,"[0, 0, 1, 1, 8]",,,,,"[0, 0, 0, 0, 4]",,"[0, 1, 0, 1, 1]",,"[0, 0, 1, 1, 5]",,"[0, 0, 1, 1, 6]",,"[0, 0, 0, 1, 8]",,,,,"[0, 0, 0, 0, 4]",,"[0, 0, 1, 0, 2]",,"[0, 0, 1, 2, 4]",,"[0, 1, 1, 0, 6]",,"[0, 1, 1, 2, 5]",,,,,"[0, 0, 4, 0, 0]",,"[0, 0, 1, 2, 0]",,"[0, 0, 4, 2, 1]",,"[0, 2, 4, 2, 0]",,"[0, 3, 4, 1, 1]"
01410,,,,,"[0, 0, 3, 7, 12]",,"[1, 2, 4, 7, 9]",,"[1, 5, 3, 11, 7]",,"[0, 1, 4, 11, 6]",,"[0, 0, 5, 9, 9]",,,,,"[0, 0, 6, 6, 10]",,"[3, 1, 3, 11, 5]",,"[2, 6, 6, 8, 5]",,"[1, 5, 7, 6, 3]",,"[1, 2, 9, 8, 3]",,,,,"[0, 1, 5, 5, 11]",,"[0, 0, 2, 6, 15]",,"[1, 3, 6, 11, 6]",,"[0, 5, 2, 11, 4]",,"[0, 1, 8, 4, 10]",,,,,"[1, 5, 12, 4, 0]",,"[0, 6, 8, 7, 2]",,"[0, 2, 15, 8, 2]",,"[2, 1, 10, 5, 4]",,"[0, 3, 8, 6, 6]"
01415,,,,"[0, 0, 0, 1, 7]",,"[0, 0, 0, 1, 6]",,"[1, 0, 0, 3, 4]",,"[0, 0, 1, 1, 5]",,"[0, 0, 0, 1, 6]",,,,,"[0, 0, 1, 2, 5]",,"[0, 0, 0, 4, 3]",,"[0, 0, 0, 3, 4]",,"[0, 0, 0, 4, 3]",,"[0, 0, 0, 0, 7]",,,,,"[0, 0, 4, 2, 2]",,"[0, 0, 0, 2, 5]",,"[0, 0, 1, 2, 4]",,"[0, 0, 0, 3, 4]",,"[0, 0, 0, 1, 6]",,,,,"[0, 0, 7, 1, 0]",,"[0, 0, 4, 2, 1]",,"[0, 1, 6, 0, 0]",,"[1, 5, 1, 0, 0]",,"[0, 1, 5, 1, 0]",
01418,,,,"[0, 2, 3, 19, 28]",,"[0, 2, 6, 14, 33]",,"[0, 0, 5, 19, 38]",,"[1, 0, 1, 13, 24]",,"[1, 2, 2, 7, 25]",,,,,"[2, 3, 10, 19, 18]",,"[1, 4, 11, 15, 24]",,"[0, 4, 13, 30, 15]",,"[3, 1, 9, 14, 12]",,"[3, 4, 4, 13, 13]",,,,,"[0, 3, 4, 22, 22]",,"[0, 0, 9, 14, 32]",,"[0, 3, 9, 18, 32]",,"[0, 1, 4, 18, 16]",,"[1, 1, 4, 12, 19]",,,,,"[0, 3, 32, 11, 6]",,"[1, 2, 25, 22, 5]",,"[1, 3, 26, 21, 11]",,"[0, 6, 15, 15, 3]",,"[0, 5, 13, 12, 7]",
01426,,,,"[0, 0, 0, 0, 6]",,"[0, 0, 0, 2, 2]",,"[0, 2, 1, 4, 4]",,"[0, 0, 0, 1, 0]",,"[1, 0, 1, 5, 3]",,,,,"[0, 0, 0, 1, 5]",,"[0, 0, 1, 1, 2]",,"[1, 1, 3, 4, 2]",,"[0, 0, 0, 0, 1]",,"[0, 1, 3, 6, 0]",,,,,"[0, 0, 1, 2, 3]",,"[0, 0, 1, 1, 2]",,"[2, 6, 1, 1, 1]",,"[0, 1, 0, 0, 0]",,"[4, 1, 2, 3, 0]",,,,,"[1, 2, 3, 0, 0]",,"[1, 0, 3, 0, 0]",,"[1, 3, 4, 3, 0]",,"[0, 0, 1, 0, 0]",,"[2, 3, 3, 1, 1]",
01527,,,,"[0, 0, 1, 1, 4]",,"[0, 0, 0, 0, 4]",,"[0, 0, 0, 0, 2]",,"[0, 0, 0, 0, 5]",,"[0, 0, 0, 0, 4]",,,,,"[0, 0, 0, 3, 3]",,"[0, 0, 0, 0, 4]",,"[0, 0, 0, 1, 1]",,"[0, 0, 0, 0, 5]",,"[0, 0, 0, 0, 4]",,,,,"[0, 0, 1, 1, 4]",,"[0, 0, 0, 1, 3]",,"[0, 0, 0, 0, 2]",,"[0, 0, 0, 1, 4]",,"[0, 0, 0, 1, 3]",,,,,"[0, 0, 4, 2, 0]",,"[0, 1, 3, 0, 0]",,"[0, 0, 1, 1, 0]",,"[0, 0, 4, 1, 0]",,"[0, 0, 1, 3, 0]",
01617,,,,"[1, 1, 6, 11, 18]",,"[0, 1, 5, 13, 13]",,"[0, 2, 9, 16, 20]",,"[1, 5, 4, 11, 22]",,"[5, 4, 17, 27, 15]",,,,,"[2, 3, 9, 8, 15]",,"[0, 1, 3, 15, 13]",,"[2, 8, 12, 10, 14]",,"[0, 9, 5, 10, 18]",,"[9, 8, 21, 15, 14]",,,,,"[0, 1, 3, 21, 12]",,"[0, 0, 5, 14, 13]",,"[0, 5, 10, 21, 10]",,"[2, 1, 3, 15, 22]",,"[4, 6, 18, 28, 11]",,,,,"[1, 5, 17, 12, 2]",,"[1, 2, 20, 9, 0]",,"[0, 8, 26, 11, 1]",,"[2, 5, 14, 15, 7]",,"[2, 7, 35, 17, 5]",
01621,,,,,"[0, 0, 0, 2, 2]",,"[0, 0, 0, 3, 2]",,"[0, 0, 0, 0, 2]",,"[0, 0, 0, 0, 2]",,"[0, 0, 0, 2, 1]",,,,,"[0, 0, 1, 0, 3]",,"[0, 0, 2, 1, 2]",,"[0, 0, 1, 1, 0]",,"[0, 0, 0, 1, 1]",,"[0, 0, 2, 1, 0]",,,,,"[0, 0, 0, 0, 4]",,"[0, 0, 0, 2, 3]",,"[0, 0, 0, 0, 2]",,"[0, 0, 0, 0, 2]",,"[0, 0, 0, 0, 3]",,,,,"[0, 0, 2, 1, 1]",,"[0, 0, 3, 2, 0]",,"[0, 0, 0, 2, 0]",,"[0, 0, 1, 1, 0]",,"[0, 1, 0, 1, 1]"
01622,,,,,"[0, 0, 4, 1, 8]",,"[0, 2, 2, 1, 1]",,"[0, 0, 2, 5, 2]",,"[0, 2, 1, 4, 5]",,"[0, 1, 1, 2, 5]",,,,,"[0, 0, 3, 4, 6]",,"[1, 1, 1, 2, 1]",,"[0, 3, 1, 4, 1]",,"[0, 1, 0, 8, 3]",,"[0, 1, 3, 3, 2]",,,,,"[1, 6, 3, 3, 0]",,"[0, 0, 3, 2, 1]",,"[0, 2, 2, 4, 1]",,"[0, 1, 0, 4, 7]",,"[0, 1, 0, 5, 3]",,,,,"[0, 2, 8, 2, 1]",,"[1, 1, 3, 1, 0]",,"[0, 2, 5, 2, 0]",,"[0, 0, 8, 3, 1]",,"[0, 2, 4, 2, 1]"
01666,,,,,"[0, 0, 3, 1, 11]",,"[0, 0, 2, 3, 12]",,"[0, 0, 0, 3, 3]",,"[0, 0, 0, 2, 8]",,,,,,,"[0, 0, 4, 4, 7]",,"[0, 1, 3, 4, 8]",,"[0, 1, 2, 2, 1]",,"[0, 1, 2, 0, 7]",,,,,,,"[0, 0, 6, 3, 6]",,"[1, 0, 1, 3, 11]",,"[1, 2, 0, 1, 2]",,"[1, 0, 2, 0, 7]",,,,,,,"[0, 0, 10, 5, 0]",,"[0, 0, 8, 8, 0]",,"[0, 1, 4, 1, 0]",,"[0, 1, 8, 1, 0]",,
01715,,,,"[0, 0, 1, 1, 11]",,"[1, 0, 0, 0, 8]",,"[0, 0, 0, 1, 8]",,"[0, 0, 0, 1, 7]",,"[0, 0, 0, 0, 9]",,,,,"[0, 0, 0, 2, 11]",,"[0, 1, 0, 0, 8]",,"[0, 0, 0, 0, 9]",,"[0, 0, 0, 1, 7]",,"[0, 0, 0, 0, 9]",,,,,"[0, 0, 0, 2, 11]",,"[0, 0, 0, 0, 9]",,"[0, 0, 0, 0, 9]",,"[0, 0, 0, 1, 7]",,"[0, 0, 0, 0, 9]",,,,,"[1, 1, 8, 3, 0]",,"[0, 1, 6, 2, 0]",,"[1, 2, 6, 0, 0]",,"[0, 3, 5, 0, 0]",,"[0, 0, 3, 5, 1]",
01716,,,,,,,"[0, 0, 0, 1, 4]",,"[0, 0, 0, 0, 5]",,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 1, 3]",,,,,,,"[0, 0, 0, 0, 5]",,"[0, 0, 0, 2, 3]",,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 2, 2]",,,,,,,"[0, 0, 0, 1, 4]",,"[0, 0, 1, 2, 2]",,"[0, 0, 0, 0, 0]",,"[0, 0, 0, 1, 3]",,,,,,,"[0, 1, 4, 0, 0]",,"[0, 2, 3, 0, 0]",,"[0, 0, 0, 0, 0]",,"[0, 0, 3, 1, 0]"
01901,,,,"[11, 35, 81, 152, 168]","[3, 7, 21, 58, 57]","[7, 17, 63, 123, 213]","[6, 7, 17, 27, 52]","[7, 27, 68, 148, 151]","[3, 8, 24, 38, 41]","[12, 37, 54, 93, 108]","[1, 6, 21, 27, 28]","[2, 15, 49, 140, 149]","[3, 3, 12, 7, 9]",,,,"[33, 45, 139, 143, 86]","[4, 11, 43, 52, 36]","[13, 44, 104, 144, 118]","[8, 17, 18, 36, 29]","[22, 54, 123, 120, 72]","[7, 19, 25, 38, 21]","[31, 45, 82, 84, 55]","[4, 14, 29, 18, 14]","[11, 28, 86, 129, 96]","[7, 6, 10, 5, 5]",,,,"[27, 59, 106, 123, 129]","[2, 19, 44, 41, 39]","[12, 40, 102, 124, 146]","[10, 9, 20, 31, 37]","[12, 39, 99, 133, 108]","[6, 10, 30, 28, 35]","[20, 35, 64, 95, 81]","[7, 10, 20, 24, 18]","[11, 44, 94, 118, 81]","[4, 3, 15, 6, 5]",,,,"[11, 61, 199, 125, 51]","[3, 11, 59, 50, 23]","[9, 62, 179, 128, 46]","[2, 9, 49, 36, 11]","[9, 61, 138, 124, 56]","[2, 8, 50, 36, 12]","[10, 35, 118, 85, 47]","[1, 10, 33, 22, 13]","[12, 50, 148, 95, 43]","[2, 3, 12, 10, 6]"
